Allegion PE Ratio Historical Data,Allegion PE Ratio Historical Data,Allegion PE Ratio Historical Data,Allegion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,122.6,,20.0
2024-03-31,134.71,$6.13,21.98
2023-12-31,126.22,$6.12,20.62
2023-09-30,103.42,$6.31,16.39
2023-06-30,118.62,$5.84,20.31
2023-03-31,105.08,$5.53,19.0
2022-12-31,103.2,$5.18,19.92
2022-09-30,87.58,$4.91,17.84
2022-06-30,95.19,$5.20,18.31
2022-03-31,106.31,$5.21,20.41
2021-12-31,127.8,$5.34,23.93
2021-09-30,127.19,$5.09,24.99
2021-06-30,133.7,$5.08,26.32
2021-03-31,120.26,$4.57,26.31
2020-12-31,111.08,$3.39,32.77
2020-09-30,94.14,$3.24,29.05
2020-06-30,96.98,$3.06,31.69
2020-03-31,87.03,$3.42,25.45
2019-12-31,117.4,$4.26,27.56
2019-09-30,97.5,$4.79,20.35
2019-06-30,103.71,$4.60,22.55
2019-03-31,84.88,$4.63,18.33
2018-12-31,74.36,$4.54,16.38
2018-09-30,84.29,$3.25,25.93
2018-06-30,71.82,$2.98,24.1
2018-03-31,78.98,$2.89,27.33
2017-12-31,73.5,$2.85,25.79
2017-09-30,79.72,$3.52,22.65
2017-06-30,74.65,$2.60,28.71
2017-03-31,69.52,$2.48,28.03
2016-12-31,58.65,$2.37,24.75
2016-09-30,63.03,$2.34,26.94
2016-06-30,63.39,$2.04,31.08
2016-03-31,58.07,$1.72,33.76
2015-12-31,59.97,$1.59,37.72
2015-09-30,52.38,$1.22,42.93
2015-06-30,54.54,$2.12,25.73
2015-03-31,55.38,$1.91,29.0
2014-12-31,50.13,$1.81,27.69
2014-09-30,42.99,$1.54,27.92
