PACCAR PE Ratio Historical Data,PACCAR PE Ratio Historical Data,PACCAR PE Ratio Historical Data,PACCAR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,109.43,,11.35
2024-03-31,123.55,$9.64,12.82
2023-12-31,97.13,$8.77,11.08
2023-09-30,81.59,$7.83,10.42
2023-06-30,80.02,$6.96,11.49
2023-03-31,69.78,$6.01,11.6
2022-12-31,62.68,$5.76,10.88
2022-09-30,51.35,$4.98,10.31
2022-06-30,50.34,$4.23,11.91
2022-03-31,53.62,$3.79,14.16
2021-12-31,53.54,$3.54,15.13
2021-09-30,46.88,$3.34,14.04
2021-06-30,52.79,$3.36,15.71
2021-03-31,54.76,$2.71,20.23
2020-12-31,50.68,$2.49,20.33
2020-09-30,49.52,$2.73,18.12
2020-06-30,43.31,$3.16,13.7
2020-03-31,35.2,$4.06,8.67
2019-12-31,45.36,$4.58,9.9
2019-09-30,38.87,$4.66,8.34
2019-06-30,39.59,$4.53,8.75
2019-03-31,37.47,$4.40,8.52
2018-12-31,31.27,$4.16,7.52
2018-09-30,35.88,$4.17,8.6
2018-06-30,32.46,$3.90,8.32
2018-03-31,34.52,$3.55,9.73
2017-12-31,36.94,$3.17,11.67
2017-09-30,36.83,$2.60,14.17
2017-06-30,33.49,$2.49,13.43
2017-03-31,33.95,$2.70,12.57
2016-12-31,32.17,$0.99,32.61
2016-09-30,29.21,$1.09,26.72
2016-06-30,25.67,$1.25,20.59
2016-03-31,26.95,$1.17,22.97
2015-12-31,23.24,$3.01,7.73
2015-09-30,24.71,$3.09,7.99
2015-06-30,30.12,$2.98,10.11
2015-03-31,29.71,$2.74,10.84
2014-12-31,31.89,$2.55,12.52
2014-09-30,26.19,$2.39,10.98
2014-06-30,28.83,$2.27,12.68
2014-03-31,30.84,$2.22,13.89
2013-12-31,26.97,$2.15,12.52
2013-09-30,24.89,$2.05,12.12
2013-06-30,23.91,$1.91,12.5
2013-03-31,22.44,$1.92,11.69
2012-12-31,19.99,$2.08,9.61
2012-09-30,17.3,$2.21,7.84
2012-06-30,16.86,$2.28,7.39
2012-03-31,20.04,$2.16,9.28
2011-12-31,15.97,$1.91,8.38
2011-09-30,14.08,$1.61,8.76
2011-06-30,21.17,$1.31,16.12
2011-03-31,21.64,$1.06,20.41
2010-12-31,23.64,$0.83,28.37
2010-09-30,19.71,$0.61,32.12
2010-06-30,16.28,$0.42,38.76
2010-03-31,17.66,$0.29,61.59
2009-12-31,14.75,$0.21,71.3
