Lowe's PE Ratio Historical Data,Lowe's PE Ratio Historical Data,Lowe's PE Ratio Historical Data,Lowe's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,215.21,,16.35
2024-01-31,211.84,$13.16,16.1
2023-10-31,188.71,$12.97,14.55
2023-07-31,230.62,$10.16,22.7
2023-04-30,203.63,$10.27,19.83
2023-01-31,203.01,$10.01,20.28
2022-10-31,189.08,$10.21,18.52
2022-07-31,184.76,$12.69,14.56
2022-04-30,189.69,$12.27,15.46
2022-01-31,226.8,$11.97,18.95
2021-10-31,222.68,$11.51,19.35
2021-07-31,182.86,$9.69,18.87
2021-04-30,185.47,$9.18,20.2
2021-01-31,157.22,$7.73,20.34
2020-10-31,148.45,$7.07,21.0
2020-07-31,139.35,$7.52,18.53
2020-04-30,97.66,$5.92,16.5
2020-01-31,107.73,$5.47,19.69
2019-10-31,102.97,$3.78,27.24
2019-07-31,93.09,$3.20,29.09
2019-04-30,103.32,$2.92,35.38
2019-01-31,87.44,$2.28,38.35
2018-10-31,86.14,$4.36,19.76
2018-07-31,89.43,$5.26,17.0
2018-01-31,93.37,$4.10,22.77
2017-10-31,71.0,$4.17,17.03
2017-07-31,68.39,$4.31,15.87
2017-04-30,74.59,$3.06,24.38
2017-01-31,63.96,$3.67,17.43
2018-04-30,73.85,$3.91,18.89
2016-10-31,58.05,$2.73,21.26
2016-07-31,71.3,$3.10,23.0
2016-04-30,65.6,$2.99,21.94
2016-01-31,61.61,$2.71,22.74
2015-10-31,63.22,$3.16,20.01
2015-07-31,59.17,$2.95,20.06
2015-04-30,58.5,$2.79,20.97
2015-01-31,57.38,$2.70,21.25
2014-10-31,48.28,$2.53,19.08
2014-07-31,40.21,$2.41,16.69
2014-04-30,38.4,$2.25,17.06
2014-01-31,38.56,$2.13,18.11
2013-10-31,41.32,$2.10,19.67
2013-07-31,36.86,$1.98,18.62
2013-04-30,31.64,$1.74,18.18
2013-01-31,31.32,$1.68,18.64
2012-10-31,26.44,$1.68,15.74
2012-07-31,20.61,$1.51,13.65
2012-04-30,25.41,$1.51,16.83
2012-01-31,21.57,$1.42,15.19
2011-10-31,16.81,$1.37,12.27
2011-07-31,17.14,$1.48,11.58
2011-04-30,20.72,$1.42,14.59
2011-01-31,19.5,$1.42,13.73
2010-10-31,16.7,$1.35,12.37
2010-07-31,16.15,$1.29,12.52
2010-04-30,21.0,$1.22,17.21
2010-01-31,16.71,$1.20,13.92
2009-10-31,15.04,$1.17,12.86
