United Dominion Realty Trust PE Ratio Historical Data,United Dominion Realty Trust PE Ratio Historical Data,United Dominion Realty Trust PE Ratio Historical Data,United Dominion Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,38.96,,28.23
2024-03-31,36.99,$1.38,26.81
2023-12-31,37.45,$1.34,27.95
2023-09-30,34.49,$1.37,25.17
2023-06-30,41.13,$1.34,30.69
2023-03-31,38.91,$0.30,129.69
2022-12-31,36.34,$0.25,145.37
2022-09-30,38.75,$0.49,79.09
2022-06-30,42.42,$0.48,88.36
2022-03-31,52.51,$0.51,102.97
2021-12-31,54.57,$0.48,113.69
2021-09-30,47.87,$0.20,239.35
2021-06-30,43.95,$0.05,879.0
2021-03-31,39.03,$0.20,195.17
2020-12-31,33.88,$0.20,169.38
2020-09-30,28.46,$0.44,64.68
2020-06-30,32.3,$0.62,52.09
2020-03-31,31.28,$0.55,56.87
2019-12-31,39.68,$0.62,64.0
2019-09-30,40.9,$0.59,69.33
2019-06-30,37.6,$0.57,65.96
2019-03-31,37.79,$0.52,72.67
2018-12-31,32.67,$0.74,44.14
2018-09-30,33.07,$0.69,47.93
2018-06-30,30.44,$0.68,44.77
2018-03-31,28.63,$0.64,44.73
2017-12-31,30.7,$0.43,71.39
2017-09-30,30.06,$1.06,28.36
2017-06-30,30.56,$1.10,27.78
2017-03-31,28.19,$1.13,24.95
2016-12-31,28.13,$1.08,26.05
2016-09-30,27.52,$0.81,33.97
2016-06-30,28.0,$0.76,36.84
2016-03-31,28.99,$1.03,28.15
2015-12-31,28.06,$1.27,22.09
2015-09-30,25.55,$0.91,28.08
2015-06-30,23.54,$1.02,23.08
2015-03-31,24.8,$0.81,30.61
2014-12-31,22.28,$0.60,37.13
2014-09-30,19.51,$0.49,39.82
2014-06-30,20.32,$0.34,59.75
2014-03-31,18.14,$0.24,75.6
2013-12-31,16.24,$0.17,95.52
2013-09-30,16.31,$-0.02,0.0
2013-06-30,17.38,$-0.07,0.0
2013-03-31,16.34,$0.53,30.82
2012-12-31,15.91,$0.89,17.88
2012-09-30,16.31,$1.14,14.31
2012-06-30,16.84,$1.11,15.17
2012-03-31,17.26,$0.55,31.39
2011-12-31,16.08,$0.02,803.91
2011-09-30,14.06,$-0.35,0.0
2011-06-30,15.47,$-0.44,0.0
2011-03-31,15.23,$-0.68,0.0
2010-12-31,14.58,$-0.68,0.0
2010-09-30,12.98,$-0.67,0.0
2010-06-30,11.65,$-0.78,0.0
2010-03-31,10.64,$-0.70,0.0
2009-12-31,9.8,$-0.63,0.0
