Prudential Financial PE Ratio Historical Data,Prudential Financial PE Ratio Historical Data,Prudential Financial PE Ratio Historical Data,Prudential Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,119.36,,20.3
2024-03-31,116.12,$5.88,19.75
2023-12-31,101.35,$6.69,15.15
2023-09-30,91.52,$1.55,59.04
2023-06-30,83.93,$3.00,27.98
2023-03-31,77.54,$0.09,861.53
2022-12-31,92.07,$-3.94,0.0
2022-09-30,78.53,$0.72,109.07
2022-06-30,86.54,$5.40,16.03
2022-03-31,105.64,$12.33,8.57
2021-12-31,95.77,$19.41,4.93
2021-09-30,92.09,$18.31,5.03
2021-06-30,88.73,$18.11,4.9
2021-03-31,78.04,$6.59,11.84
2020-12-31,65.94,$-1.09,0.0
2020-09-30,52.89,$-0.36,0.0
2020-06-30,49.91,$-0.62,0.0
2020-03-31,41.92,$7.21,5.81
2019-12-31,74.49,$10.13,7.35
2019-09-30,70.72,$9.36,7.56
2019-06-30,78.46,$9.82,7.99
2019-03-31,70.65,$8.57,8.24
2018-12-31,62.05,$9.49,6.54
2018-09-30,76.32,$16.11,4.74
2018-06-30,69.8,$17.30,4.03
2018-03-31,76.62,$17.96,4.27
2017-12-31,84.37,$17.91,4.71
2017-09-30,77.48,$9.94,7.8
2017-06-30,78.24,$8.92,8.77
2017-03-31,76.63,$10.73,7.14
2016-12-31,74.24,$9.24,8.03
2016-09-30,57.85,$11.76,4.92
2016-03-31,50.25,$10.72,4.69
2015-12-31,56.04,$12.16,4.61
2015-09-30,52.04,$7.87,6.61
2015-06-30,59.34,$6.76,8.78
2015-03-31,54.08,$4.72,11.46
2014-12-31,60.48,$2.57,23.53
2016-06-30,50.08,$7.85,6.38
2014-09-30,58.4,$4.86,12.02
2014-06-30,58.6,$5.94,9.87
2014-03-31,55.52,$2.59,21.44
2013-12-31,60.1,$-1.55,0.0
2013-09-30,50.52,$-1.07,0.0
2013-06-30,47.08,$-4.55,0.0
2013-03-31,37.8,$1.22,30.98
2012-12-31,33.93,$0.68,49.9
2012-09-30,33.58,$2.40,13.99
2012-06-30,29.83,$6.87,4.34
2012-03-31,39.05,$3.91,9.99
2011-12-31,30.88,$7.19,4.29
2011-09-30,28.03,$6.37,4.4
2011-06-30,38.04,$5.78,6.58
2011-03-31,36.83,$5.79,6.36
2010-12-31,35.12,$5.74,6.12
2010-09-30,31.73,$9.10,3.49
2010-06-30,31.43,$8.98,3.5
2010-03-31,35.43,$8.54,4.15
2009-12-31,29.14,$7.39,3.94
