Ecolab PE Ratio Historical Data,Ecolab PE Ratio Historical Data,Ecolab PE Ratio Historical Data,Ecolab PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,234.31,,48.92
2023-12-31,197.86,$4.79,41.31
2023-09-30,168.49,$4.31,39.09
2023-06-30,185.13,$4.33,42.75
2023-03-31,163.67,$4.39,37.28
2022-12-31,143.44,$4.65,30.85
2024-03-31,230.9,$4.32,53.45
2022-09-30,141.78,$3.93,36.08
2022-06-30,150.47,$3.84,39.19
2022-03-31,172.19,$3.84,44.84
2021-12-31,228.08,$3.91,58.33
2021-09-30,202.38,$3.91,51.76
2021-06-30,199.39,$3.64,54.78
2021-03-31,206.76,$-4.42,0.0
2020-12-31,208.51,$-4.12,0.0
2020-09-30,192.16,$-3.69,0.0
2020-06-30,190.87,$-2.95,0.0
2020-03-31,149.15,$5.29,28.19
2019-12-31,184.2,$5.33,34.56
2019-09-30,188.54,$5.21,36.19
2019-06-30,187.52,$5.10,36.77
2019-03-31,167.27,$5.04,33.19
2018-12-31,139.24,$4.87,28.59
2018-09-30,147.7,$5.45,27.1
2018-06-30,131.86,$5.31,24.83
2018-03-31,128.43,$5.12,25.08
2017-12-31,125.35,$5.14,24.39
2017-09-30,119.78,$4.45,26.92
2017-06-30,123.29,$4.38,28.15
2017-03-31,116.09,$4.24,27.38
2016-12-31,108.25,$4.15,26.08
2016-09-30,112.06,$3.60,31.13
2016-06-30,108.86,$3.19,34.13
2016-03-31,102.06,$3.32,30.74
2015-12-31,104.33,$3.32,31.43
2015-09-30,99.77,$3.73,26.75
2015-06-30,102.51,$4.06,25.25
2015-03-31,103.4,$4.08,25.34
2014-12-31,94.22,$3.93,23.97
2014-09-30,103.18,$3.76,27.44
2014-06-30,99.8,$3.57,27.96
2014-03-31,96.56,$3.24,29.8
2013-12-31,93.0,$3.15,29.52
2013-09-30,87.85,$2.99,29.38
2013-06-30,75.59,$2.79,27.09
2013-03-31,70.95,$2.72,26.09
2012-12-31,63.44,$2.36,26.88
2012-09-30,57.0,$1.93,29.53
2012-06-30,60.08,$1.78,33.75
2012-03-31,53.95,$1.69,31.92
2011-12-31,50.36,$1.92,26.23
2011-09-30,42.44,$2.14,19.83
2011-06-30,48.77,$2.23,21.87
2011-03-31,43.99,$2.25,19.55
2010-12-31,43.32,$2.25,19.25
2010-09-30,43.44,$2.17,20.02
2010-06-30,38.33,$2.03,18.88
2010-03-31,37.39,$1.89,19.78
2009-12-31,37.79,$1.73,21.84
