Brown-Forman PE Ratio Historical Data,Brown-Forman PE Ratio Historical Data,Brown-Forman PE Ratio Historical Data,Brown-Forman PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,45.76,,22.77
2024-01-31,54.9,$2.01,27.31
2023-10-31,56.16,$1.62,34.67
2023-07-31,70.6,$1.59,44.4
2023-04-30,65.09,$1.42,45.84
2023-01-31,66.58,$1.53,43.52
2022-10-31,68.0,$1.81,37.57
2022-04-30,67.44,$1.74,38.76
2022-01-31,67.43,$1.68,40.14
2021-10-31,67.89,$1.66,40.9
2021-07-31,70.92,$1.62,43.78
2021-04-30,76.11,$1.72,44.25
2022-07-31,74.22,$2.14,34.68
2021-01-31,71.33,$1.89,37.74
2020-10-31,69.22,$1.92,36.05
2020-07-31,68.7,$2.01,34.18
2020-04-30,61.47,$1.73,35.53
2020-01-31,66.66,$1.79,37.24
2019-10-31,64.4,$1.78,36.18
2019-07-31,53.73,$1.71,31.42
2019-04-30,52.08,$1.73,30.1
2019-01-31,46.02,$1.63,28.24
2018-10-31,44.98,$1.55,29.02
2018-07-31,51.5,$1.53,33.75
2018-04-30,54.08,$1.48,36.44
2018-01-31,52.39,$1.55,33.8
2017-10-31,42.97,$1.54,27.98
2017-07-31,37.11,$1.44,25.77
2017-04-30,35.42,$1.36,26.04
2017-01-31,34.01,$2.10,16.16
2016-10-31,34.29,$2.10,16.3
2016-07-31,36.34,$2.09,17.37
2016-04-30,35.53,$2.07,17.18
2016-01-31,35.96,$1.38,26.13
2015-10-31,38.9,$1.39,28.03
2015-04-30,32.84,$1.28,25.66
2015-01-31,32.23,$1.26,25.5
2014-10-31,33.5,$1.22,27.55
2014-07-31,31.22,$1.16,27.01
2014-04-30,32.23,$1.26,25.58
2015-07-31,39.59,$1.28,31.03
2014-01-31,27.57,$1.18,23.28
2013-10-31,26.03,$1.15,22.67
2013-07-31,25.76,$1.08,23.76
2013-04-30,24.95,$1.10,22.77
2013-01-31,22.82,$1.08,21.05
2012-10-31,21.21,$1.04,20.4
2012-07-31,20.58,$1.01,20.34
2012-04-30,18.92,$0.95,19.87
2012-01-31,17.71,$1.06,16.77
2011-10-31,16.23,$1.06,15.25
2011-07-31,15.9,$1.05,15.12
2011-04-30,15.46,$1.04,14.89
2011-01-31,14.21,$0.87,16.34
2010-10-31,12.78,$0.88,14.56
2010-07-31,13.22,$0.81,16.25
2010-04-30,12.1,$0.75,16.09
2009-10-31,10.04,$0.84,11.99
2009-07-31,8.98,$0.77,11.69
