TJX PE Ratio Historical Data,TJX PE Ratio Historical Data,TJX PE Ratio Historical Data,TJX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,102.14,,32.95
2024-04-30,93.73,$3.10,30.24
2024-01-31,94.23,$3.86,24.41
2023-10-31,87.12,$3.53,24.68
2023-07-31,85.26,$3.41,25.0
2023-04-30,77.34,$3.25,23.8
2023-01-31,80.03,$3.27,24.47
2022-10-31,70.19,$3.22,21.8
2022-07-31,59.26,$2.95,20.09
2022-01-31,69.11,$2.70,25.6
2021-10-31,62.66,$2.19,28.61
2021-07-31,65.59,$1.84,35.65
2021-04-30,67.43,$1.91,35.3
2021-01-31,60.59,$1.29,46.97
2022-04-30,59.06,$0.28,210.93
2020-10-31,48.06,$0.60,80.11
2020-07-31,49.19,$0.57,86.3
2020-04-30,46.41,$1.37,33.87
2020-01-31,55.66,$2.68,20.77
2019-10-31,54.13,$2.55,21.23
2019-07-31,51.23,$2.48,20.66
2019-04-30,51.31,$2.45,20.98
2019-01-31,46.31,$2.44,18.98
2018-10-31,50.98,$2.45,20.85
2018-07-31,44.94,$2.34,19.25
2018-04-30,39.03,$2.18,17.94
2018-01-31,36.8,$2.02,18.22
2017-10-31,31.83,$1.85,17.21
2017-07-31,31.92,$1.77,18.09
2017-04-30,35.56,$1.76,20.21
2017-01-31,33.77,$1.73,19.52
2016-10-31,33.12,$1.71,19.37
2016-07-31,36.58,$1.73,21.21
2016-04-30,33.83,$1.71,19.84
2016-01-31,31.69,$1.67,18.97
2015-10-31,32.46,$1.64,19.79
2015-07-31,30.87,$1.64,18.88
2015-04-30,28.45,$1.60,17.78
2015-01-31,28.99,$1.58,18.41
2014-10-31,27.76,$1.52,18.32
2014-07-31,23.29,$1.52,15.32
2014-04-30,25.35,$1.49,17.07
2014-01-31,24.93,$1.48,16.9
2013-10-31,26.36,$1.48,17.81
2013-07-31,22.51,$1.36,16.55
2013-04-30,21.03,$1.31,16.06
2013-01-31,19.44,$1.28,15.24
2012-10-31,17.86,$1.18,15.2
2012-07-31,18.95,$1.13,16.77
2012-04-30,17.8,$1.08,16.56
2012-01-31,14.5,$0.97,14.99
2011-10-31,12.5,$0.87,14.41
2011-07-31,11.69,$0.83,14.04
2011-04-30,11.29,$0.79,14.25
2011-01-31,9.95,$0.83,12.06
2010-10-31,9.6,$0.85,11.3
2010-07-31,8.66,$0.82,10.53
2010-04-30,9.63,$0.79,12.19
2010-01-31,7.88,$0.71,11.05
2009-10-31,7.72,$0.62,12.4
