Truist Financial PE Ratio Historical Data,Truist Financial PE Ratio Historical Data,Truist Financial PE Ratio Historical Data,Truist Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,38.4,,0.0
2024-03-31,38.47,$-1.32,0.0
2023-12-31,35.91,$-1.08,0.0
2023-09-30,27.34,$3.97,6.89
2023-06-30,28.53,$4.32,6.6
2023-03-31,31.45,$4.49,7.0
2022-12-31,39.26,$4.57,8.59
2022-09-30,39.24,$4.57,8.59
2022-06-30,42.32,$4.58,9.24
2021-12-31,51.32,$4.47,11.48
2021-09-30,51.03,$4.24,12.03
2021-06-30,47.89,$4.03,11.88
2021-03-31,49.96,$3.66,13.65
2020-12-31,40.71,$3.35,12.15
2022-03-31,50.07,$3.18,15.75
2020-09-30,32.01,$2.94,10.89
2020-06-30,31.22,$3.10,10.07
2020-03-31,25.29,$3.52,7.18
2019-12-31,45.81,$3.76,12.18
2019-09-30,43.06,$3.98,10.82
2019-06-30,39.26,$4.04,9.72
2019-03-31,36.87,$3.94,9.36
2018-12-31,34.05,$3.91,8.71
2018-09-30,37.85,$3.71,10.2
2018-06-30,39.02,$3.44,11.34
2018-03-31,39.99,$3.22,12.42
2017-12-31,37.93,$2.74,13.84
2017-09-30,35.56,$2.69,13.22
2017-06-30,34.16,$2.68,12.75
2017-03-31,33.4,$2.57,13.0
2016-12-31,34.9,$2.78,12.55
2016-09-30,27.78,$2.70,10.29
2016-06-30,26.02,$2.61,9.97
2016-03-31,24.11,$2.57,9.38
2015-12-31,27.17,$2.57,10.57
2015-09-30,25.4,$2.69,9.44
2015-06-30,28.56,$2.76,10.35
2015-03-31,27.44,$2.72,10.09
2014-12-31,27.19,$2.74,9.93
2014-09-30,25.86,$2.73,9.47
2014-06-30,27.22,$2.39,11.39
2014-03-31,27.55,$2.58,10.68
2013-12-31,25.44,$2.19,11.62
2013-09-30,22.85,$2.15,10.63
2013-06-30,22.79,$2.44,9.34
2013-03-31,20.96,$2.39,8.77
2012-12-31,19.17,$2.70,7.1
2012-09-30,21.7,$2.54,8.55
2012-06-30,20.06,$2.40,8.36
2012-03-31,20.29,$2.12,9.57
2011-12-31,16.17,$1.83,8.83
2011-09-30,13.6,$1.58,8.61
2011-06-30,17.02,$1.36,12.51
2011-03-31,17.3,$1.22,14.18
2010-12-31,16.48,$1.17,14.08
2010-09-30,14.99,$1.14,13.15
2010-06-30,16.29,$1.07,15.23
2010-03-31,19.97,$0.97,20.59
2009-12-31,15.55,$1.18,13.18
