Comcast PE Ratio Historical Data,Comcast PE Ratio Historical Data,Comcast PE Ratio Historical Data,Comcast PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,38.54,,10.2
2024-03-31,43.03,$3.78,11.38
2023-12-31,43.24,$3.72,11.62
2023-09-30,43.43,$3.61,12.03
2023-06-30,40.42,$1.58,25.58
2023-03-31,36.6,$1.32,27.73
2022-12-31,33.51,$1.19,28.16
2022-09-30,27.86,$1.15,24.22
2022-06-30,37.02,$3.06,12.1
2022-03-31,43.92,$3.10,14.17
2021-12-31,46.98,$3.03,15.51
2021-09-30,51.98,$3.10,16.77
2021-06-30,52.77,$2.68,19.69
2021-03-31,49.85,$2.53,19.7
2020-12-31,48.05,$2.28,21.07
2020-09-30,42.2,$2.23,18.92
2020-06-30,35.56,$2.49,14.28
2020-03-31,31.18,$2.52,12.37
2019-12-31,40.32,$2.83,14.25
2019-09-30,40.23,$2.70,14.9
2019-06-30,37.55,$2.62,14.33
2019-03-31,35.32,$2.63,13.43
2018-12-31,30.08,$5.03,5.98
2018-09-30,31.12,$5.03,6.19
2018-06-30,28.67,$4.93,5.82
2017-12-31,34.67,$4.77,7.27
2017-09-30,33.17,$2.08,15.99
2017-06-30,33.55,$2.19,15.35
2017-03-31,32.14,$2.13,15.12
2016-12-31,29.52,$2.01,14.69
2018-03-31,29.69,$1.97,15.07
2016-09-30,28.13,$1.71,16.5
2016-06-30,27.53,$1.65,16.73
2016-03-31,25.68,$1.65,15.56
2015-12-31,23.62,$1.62,14.58
2015-09-30,23.7,$1.60,14.86
2015-06-30,25.06,$1.69,14.83
2015-03-31,23.44,$1.65,14.2
2014-12-31,23.87,$1.60,14.92
2014-09-30,22.13,$1.59,13.92
2014-06-30,22.0,$1.42,15.49
2014-03-31,20.42,$1.37,14.96
2013-12-31,21.11,$1.28,16.49
2013-09-30,18.26,$1.20,15.22
2013-06-30,16.75,$1.27,13.24
2013-03-31,16.76,$1.19,14.08
2012-12-31,14.91,$1.15,13.03
2012-09-30,14.14,$1.10,12.86
2012-06-30,12.65,$0.88,14.46
2012-03-31,11.75,$0.81,14.51
2011-12-31,9.28,$0.77,12.13
2011-09-30,8.11,$0.69,11.84
2011-06-30,9.78,$0.68,14.48
2010-12-31,8.4,$0.65,13.03
2010-09-30,6.88,$0.63,10.92
2010-06-30,6.57,$0.65,10.19
2010-03-31,7.09,$0.66,10.82
2009-12-31,6.31,$0.67,9.49
2011-03-31,9.5,$0.64,14.95
