McKesson PE Ratio Historical Data,McKesson PE Ratio Historical Data,McKesson PE Ratio Historical Data,McKesson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,560.73,,25.05
2024-03-31,536.85,$22.38,23.99
2023-12-31,462.43,$22.07,20.95
2023-09-30,434.33,$25.31,17.16
2023-06-30,426.16,$26.81,15.9
2023-03-31,354.6,$25.11,14.12
2022-12-31,373.02,$21.87,17.06
2022-09-30,337.49,$14.17,23.82
2022-06-30,323.45,$9.46,34.19
2022-03-31,303.11,$8.29,36.56
2021-12-31,245.69,$-33.21,0.0
2021-09-30,196.65,$-29.63,0.0
2021-03-31,191.09,$-28.62,0.0
2020-12-31,169.99,$-26.92,0.0
2020-09-30,145.22,$15.18,9.57
2020-06-30,149.19,$12.67,11.78
2020-03-31,131.19,$5.96,22.01
2021-06-30,188.19,$2.35,80.08
2019-12-31,133.77,$-4.89,0.0
2019-09-30,131.79,$-3.52,0.0
2019-06-30,129.22,$2.98,43.36
2019-03-31,112.2,$0.06,1869.94
2018-12-31,105.56,$-1.35,0.0
2018-09-30,126.35,$0.58,217.85
2018-06-30,126.68,$-1.92,0.0
2018-03-31,133.46,$0.22,606.63
2017-12-31,147.41,$22.57,6.53
2017-09-30,144.86,$21.09,6.87
2017-06-30,154.81,$22.42,6.91
2017-03-31,139.26,$23.34,5.97
2016-12-31,131.68,$8.45,15.58
2016-09-30,156.03,$8.33,18.73
2016-06-30,174.38,$9.62,18.13
2016-03-31,146.7,$9.69,15.14
2015-12-31,183.67,$8.37,21.94
2015-09-30,172.05,$7.64,22.52
2015-06-30,208.75,$7.00,29.82
2015-03-31,209.83,$6.27,33.47
2014-12-31,192.35,$7.29,26.39
2014-09-30,180.18,$5.57,32.35
2014-06-30,172.14,$5.32,32.36
2014-03-31,163.02,$5.43,30.02
2013-12-31,148.81,$4.95,30.06
2013-09-30,118.12,$5.91,19.99
2013-06-30,105.21,$5.84,18.01
2013-03-31,99.02,$5.59,17.71
2012-12-31,88.76,$6.58,13.49
2012-09-30,78.59,$6.54,12.02
2012-06-30,85.45,$6.05,14.12
2012-03-31,79.81,$5.60,14.25
2011-12-31,70.68,$5.13,13.78
2011-09-30,65.78,$4.53,14.52
2011-06-30,75.5,$4.60,16.41
2011-03-31,71.18,$4.57,15.57
2010-12-31,63.23,$4.21,15.02
2010-09-30,55.35,$4.80,11.53
2010-06-30,59.98,$4.66,12.87
2010-03-31,58.54,$4.62,12.67
2009-12-31,55.56,$4.37,12.71
