C.H Robinson Worldwide PE Ratio Historical Data,C.H Robinson Worldwide PE Ratio Historical Data,C.H Robinson Worldwide PE Ratio Historical Data,C.H Robinson Worldwide PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,86.72,,34.28
2024-03-31,76.14,$2.53,30.09
2023-12-31,85.68,$2.71,31.62
2023-09-30,84.8,$3.25,26.09
2023-06-30,92.27,$4.35,21.21
2023-03-31,96.55,$6.21,15.55
2022-12-31,88.43,$7.30,12.11
2022-09-30,92.45,$8.24,11.22
2022-06-30,96.84,$8.31,11.65
2022-03-31,102.38,$7.08,14.46
2021-12-31,101.76,$6.31,16.13
2021-09-30,81.82,$5.65,14.48
2021-06-30,87.6,$4.80,18.25
2021-03-31,88.77,$4.42,20.08
2020-12-31,86.84,$3.71,23.41
2020-09-30,94.02,$3.36,27.98
2020-06-30,72.36,$3.43,21.1
2020-03-31,60.22,$3.59,16.77
2019-12-31,70.59,$4.18,16.89
2019-09-30,76.03,$4.79,15.87
2019-06-30,75.19,$4.97,15.13
2019-03-31,77.06,$4.88,15.79
2018-12-31,74.08,$4.73,15.66
2018-09-30,85.76,$4.47,19.19
2018-06-30,72.93,$4.07,17.92
2018-03-31,81.26,$3.72,21.84
2017-12-31,76.86,$3.57,21.53
2017-09-30,65.3,$3.35,19.49
2017-06-30,58.57,$3.40,17.23
2017-03-31,65.48,$3.62,18.09
2016-12-31,61.72,$3.59,17.19
2016-09-30,59.0,$3.61,16.34
2016-06-30,61.79,$3.67,16.84
2016-03-31,61.42,$3.61,17.01
2015-12-31,51.01,$3.51,14.53
2015-09-30,55.32,$3.40,16.27
2015-06-30,50.68,$3.29,15.4
2015-03-31,59.13,$3.15,18.77
2014-12-31,60.17,$3.05,19.73
2014-09-30,53.01,$2.90,18.28
2014-06-30,50.72,$2.74,18.51
2014-03-31,41.41,$2.64,15.69
2013-12-31,45.81,$2.65,17.29
2013-09-30,46.5,$3.61,12.88
2013-06-30,43.67,$3.64,12.0
2013-03-31,45.83,$3.65,12.56
2012-12-31,48.43,$3.66,13.23
2012-09-30,44.62,$2.75,16.23
2012-06-30,44.33,$2.73,16.24
2012-03-31,49.32,$2.69,18.33
2011-12-31,52.29,$2.63,19.88
2011-09-30,51.06,$2.58,19.79
2011-06-30,58.55,$2.50,23.42
2011-03-31,54.85,$2.42,22.66
2010-12-31,59.09,$2.33,25.36
2010-09-30,51.14,$2.23,22.93
2010-06-30,40.56,$2.18,18.61
2010-03-31,40.53,$2.13,19.03
2009-12-31,42.41,$2.13,19.91
