Kroger PE Ratio Historical Data,Kroger PE Ratio Historical Data,Kroger PE Ratio Historical Data,Kroger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,52.99,,17.9
2024-01-31,45.61,$2.96,15.41
2023-10-31,44.56,$2.57,17.34
2023-07-31,47.48,$2.24,21.2
2023-04-30,47.22,$3.49,13.53
2023-01-31,43.08,$3.07,14.03
2022-10-31,45.4,$3.20,14.19
2022-07-31,44.34,$3.29,13.48
2022-04-30,51.32,$2.90,17.7
2022-01-31,41.27,$2.18,18.93
2021-10-31,37.7,$1.33,28.35
2021-07-31,38.15,$1.49,25.61
2021-04-30,34.09,$1.91,17.85
2021-01-31,32.01,$3.25,9.85
2020-10-31,29.72,$3.75,7.93
2020-07-31,31.93,$3.27,9.77
2020-04-30,28.87,$2.61,11.06
2020-01-31,24.4,$2.04,11.96
2019-10-31,22.25,$1.96,11.35
2019-07-31,19.11,$2.03,9.41
2019-04-30,23.15,$2.28,10.15
2019-01-31,25.32,$3.70,6.84
2018-10-31,26.47,$4.34,6.1
2018-07-31,25.28,$4.39,5.76
2018-04-30,21.85,$4.16,5.25
2018-01-31,26.22,$2.11,12.43
2017-10-31,17.78,$1.68,10.58
2017-07-31,20.95,$1.65,12.69
2017-04-30,25.23,$1.66,15.2
2017-01-31,28.79,$2.04,14.11
2016-10-31,26.17,$2.08,12.58
2016-07-31,28.77,$2.10,13.7
2016-04-30,29.69,$2.14,13.88
2016-01-31,32.47,$2.07,15.72
2015-10-31,31.54,$2.02,15.65
2015-07-31,32.65,$1.95,16.74
2015-04-30,28.59,$1.86,15.37
2015-01-31,28.58,$1.73,16.57
2014-10-31,22.98,$1.61,14.28
2014-07-31,20.14,$1.53,13.16
2014-04-30,18.86,$1.48,12.75
2014-01-31,14.73,$1.43,10.3
2013-10-31,17.41,$1.33,13.14
2013-07-31,15.9,$1.30,12.27
2013-01-31,11.1,$1.39,8.02
2012-10-31,10.05,$0.68,14.89
2012-07-31,8.79,$0.84,10.53
2012-04-30,9.18,$0.75,12.32
2012-01-31,9.33,$0.59,15.94
2013-04-30,13.85,$1.21,11.5
2011-10-31,9.05,$0.97,9.38
2011-07-31,9.67,$0.96,10.07
2011-04-30,9.41,$0.94,10.07
2011-01-31,8.25,$0.88,9.42
2010-10-31,8.44,$0.85,9.93
2010-07-31,8.09,$0.01,539.29
2010-04-30,8.45,$0.00,0.0
2010-01-31,8.11,$-0.02,0.0
2009-10-31,8.72,$0.12,75.84
