Cognizant Technology Solutions PE Ratio Historical Data,Cognizant Technology Solutions PE Ratio Historical Data,Cognizant Technology Solutions PE Ratio Historical Data,Cognizant Technology Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,68.32,,16.42
2024-03-31,72.97,$4.16,17.54
2023-12-31,74.91,$4.20,17.84
2023-09-30,66.91,$4.11,16.28
2023-06-30,64.21,$4.29,14.97
2023-03-31,59.66,$4.49,13.29
2022-12-31,55.75,$4.42,12.61
2022-09-30,55.74,$4.50,12.39
2022-06-30,65.24,$4.31,15.14
2022-03-31,86.35,$4.17,20.71
2021-12-31,85.16,$4.05,21.03
2021-09-30,71.03,$3.54,20.06
2021-06-30,66.08,$3.15,20.98
2021-03-31,74.28,$2.85,26.06
2020-12-31,77.68,$2.57,30.22
2020-09-30,65.61,$2.70,24.3
2020-06-30,53.52,$2.96,18.08
2020-03-31,43.59,$3.19,13.66
2019-12-31,57.99,$3.29,17.62
2019-09-30,56.17,$3.69,15.22
2019-06-30,58.89,$3.61,16.31
2019-03-31,67.09,$3.49,19.22
2018-12-31,58.62,$3.60,16.28
2018-09-30,71.04,$2.45,28.99
2018-06-30,72.54,$2.47,29.37
2018-03-31,73.73,$2.49,29.61
2017-12-31,64.89,$2.53,25.65
2017-09-30,66.14,$3.24,20.41
2017-06-30,60.41,$3.13,19.3
2017-03-31,54.03,$2.74,19.72
2016-12-31,50.86,$2.54,20.02
2016-09-30,43.31,$2.55,16.98
2016-06-30,51.96,$2.47,21.04
2016-03-31,56.92,$2.74,20.77
2015-12-31,54.48,$2.64,20.64
2015-09-30,56.81,$2.54,22.36
2015-06-30,55.45,$2.47,22.45
2015-03-31,56.63,$2.40,23.6
2014-12-31,47.8,$2.35,20.34
2014-09-30,40.64,$2.29,17.75
2014-06-30,44.4,$2.24,19.86
2014-03-31,45.93,$2.12,21.67
2013-12-31,45.83,$2.02,22.75
2013-09-30,37.27,$1.95,19.16
2013-06-30,28.43,$1.88,15.16
2013-03-31,34.78,$1.79,19.43
2012-12-31,33.53,$1.72,19.5
2012-09-30,31.72,$1.65,19.22
2012-06-30,27.23,$1.56,17.46
2012-03-31,34.93,$1.49,23.52
2011-12-31,29.19,$1.42,20.56
2011-09-30,28.46,$1.36,20.92
2011-03-31,36.95,$1.28,28.98
2010-12-31,33.26,$1.19,28.07
2010-09-30,29.26,$1.09,26.84
2010-06-30,22.72,$1.10,20.75
2010-03-31,23.14,$1.04,22.25
2009-12-31,20.57,$1.03,19.97
2011-06-30,33.29,$0.99,33.79
