Mettler-Toledo PE Ratio Historical Data,Mettler-Toledo PE Ratio Historical Data,Mettler-Toledo PE Ratio Historical Data,Mettler-Toledo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,1479.53,,41.49
2024-03-31,1331.29,$35.66,37.33
2023-12-31,1212.96,$35.89,33.8
2023-09-30,1108.07,$39.23,28.25
2023-06-30,1311.64,$39.78,32.97
2023-03-31,1530.21,$39.38,38.86
2022-12-31,1445.45,$38.46,37.58
2022-09-30,1084.12,$36.54,29.67
2022-06-30,1148.77,$35.49,32.37
2022-03-31,1373.19,$34.05,40.33
2021-12-31,1697.21,$32.82,51.71
2021-09-30,1377.36,$31.91,43.16
2021-06-30,1385.34,$29.88,46.36
2021-03-31,1155.69,$27.25,42.41
2020-12-31,1139.68,$24.96,45.66
2020-09-30,965.75,$23.77,40.63
2020-06-30,805.55,$22.29,36.14
2020-03-31,690.51,$22.13,31.2
2019-12-31,793.28,$22.52,35.23
2019-09-30,704.4,$21.79,32.33
2019-06-30,840.0,$21.52,39.03
2019-03-31,723.0,$20.77,34.81
2018-12-31,565.58,$19.93,28.38
2018-09-30,608.98,$15.75,38.67
2018-06-30,578.63,$14.81,39.07
2018-03-31,575.03,$14.34,40.1
2017-12-31,619.52,$14.24,43.51
2017-09-30,626.16,$16.48,38.0
2017-06-30,588.54,$16.26,36.2
2017-03-31,478.91,$15.35,31.2
2016-12-31,418.56,$14.27,29.33
2016-09-30,419.83,$13.54,31.01
2016-06-30,364.92,$12.93,28.22
2016-03-31,344.76,$12.73,27.08
2015-12-31,339.13,$12.52,27.09
2015-09-30,284.74,$12.25,23.24
2015-06-30,341.46,$11.98,28.5
2015-03-31,328.65,$11.74,27.99
2014-12-31,302.46,$11.48,26.35
2014-09-30,256.13,$10.94,23.41
2014-06-30,253.18,$10.48,24.16
2014-03-31,235.68,$10.23,23.04
2013-12-31,242.59,$9.99,24.28
2013-09-30,240.09,$9.71,24.73
2013-06-30,201.2,$9.56,21.05
2013-03-31,213.22,$9.25,23.05
2012-12-31,193.3,$9.18,21.06
2012-09-30,170.74,$8.74,19.54
2012-06-30,155.85,$8.55,18.23
2012-03-31,184.75,$8.44,21.89
2011-12-31,147.71,$8.23,17.95
2011-09-30,139.96,$7.73,18.11
2011-06-30,168.67,$7.46,22.61
2011-03-31,172.0,$7.13,24.12
2010-12-31,151.21,$6.82,22.17
2010-09-30,124.44,$6.42,19.38
2010-06-30,111.63,$5.81,19.21
2010-03-31,109.2,$5.13,21.29
2009-12-31,104.99,$5.03,20.87
