Bank Of New York Mellon PE Ratio Historical Data,Bank Of New York Mellon PE Ratio Historical Data,Bank Of New York Mellon PE Ratio Historical Data,Bank Of New York Mellon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,59.09,,14.41
2024-03-31,57.2,$4.10,13.95
2023-12-31,51.28,$3.97,12.92
2023-09-30,41.6,$4.26,9.77
2023-06-30,43.03,$3.43,12.54
2023-03-31,43.53,$3.16,13.78
2022-12-31,43.28,$2.90,14.93
2022-09-30,36.3,$3.29,11.03
2022-06-30,38.97,$3.94,9.89
2022-03-31,46.0,$4.04,11.39
2021-12-31,53.52,$4.15,12.9
2021-09-30,47.5,$3.93,12.09
2021-06-30,46.63,$3.87,12.05
2021-03-31,42.77,$3.75,11.4
2020-12-31,38.08,$3.83,9.94
2020-09-30,30.55,$4.56,6.7
2020-06-30,34.09,$4.65,7.33
2020-03-31,29.46,$4.65,6.34
2019-12-31,43.73,$4.44,9.85
2019-09-30,39.02,$3.98,9.8
2019-06-30,37.86,$3.94,9.61
2018-12-31,39.92,$4.03,9.91
2018-09-30,42.98,$4.27,10.07
2018-06-30,45.22,$4.15,10.9
2018-03-31,43.02,$4.06,10.6
2017-12-31,44.78,$3.84,11.66
2019-03-31,43.0,$3.59,11.98
2017-09-30,43.88,$3.42,12.83
2017-06-30,42.03,$3.38,12.44
2017-03-31,38.75,$3.25,11.92
2016-12-31,38.71,$3.16,12.25
2016-09-30,32.44,$2.96,10.96
2016-06-30,31.45,$2.80,11.23
2016-03-31,29.69,$2.78,10.68
2015-12-31,33.08,$2.71,12.21
2015-09-30,31.29,$2.84,11.02
2015-06-30,33.41,$3.03,11.03
2015-03-31,31.91,$2.78,11.48
2014-12-31,32.02,$2.68,11.95
2014-09-30,30.43,$2.43,12.52
2014-06-30,29.32,$2.32,12.64
2014-03-31,27.47,$2.55,10.77
2013-12-31,27.07,$1.75,15.47
2013-09-30,23.28,$1.83,12.72
2013-06-30,21.53,$1.62,13.29
2013-03-31,21.37,$1.30,16.44
2012-12-31,19.52,$2.05,9.52
2012-09-30,17.09,$1.94,8.81
2012-06-30,16.49,$1.86,8.86
2012-03-31,18.02,$2.06,8.75
2011-12-31,14.78,$2.04,7.24
2011-09-30,13.71,$2.16,6.35
2011-06-30,18.8,$2.14,8.79
2011-03-31,21.82,$2.09,10.44
2010-12-31,22.0,$2.05,10.73
2010-09-30,18.97,$2.00,9.48
2010-06-30,17.86,$-0.56,0.0
2010-03-31,22.27,$-0.95,0.0
2009-12-31,20.11,$-1.13,0.0
