Evergy PE Ratio Historical Data,Evergy PE Ratio Historical Data,Evergy PE Ratio Historical Data,Evergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,53.43,,17.29
2024-03-31,52.76,$3.09,17.08
2023-12-31,50.96,$3.18,16.03
2023-09-30,48.87,$2.96,16.51
2023-06-30,55.71,$3.29,16.93
2023-03-31,57.69,$3.35,17.22
2022-12-31,58.78,$3.26,18.03
2022-09-30,54.91,$3.46,15.87
2022-06-30,59.83,$3.55,16.85
2022-03-31,62.13,$3.52,17.65
2021-12-31,61.82,$3.21,19.26
2021-09-30,55.56,$4.58,12.13
2021-06-30,53.56,$3.22,16.63
2020-12-31,48.31,$2.72,17.76
2020-09-30,43.79,$2.78,15.75
2020-06-30,50.6,$2.02,25.05
2020-03-31,46.57,$2.99,15.58
2019-12-31,54.67,$3.25,16.82
2021-03-31,52.31,$3.36,15.57
2019-09-30,55.46,$2.59,21.41
2019-06-30,49.76,$2.35,21.17
2019-03-31,47.63,$2.34,20.35
2018-12-31,46.18,$2.37,19.49
2018-09-30,44.32,$2.54,17.45
2018-06-30,44.95,$2.33,19.29
2018-03-31,42.1,$2.27,18.55
2017-12-31,42.27,$2.27,18.62
2017-09-30,39.7,$2.41,16.47
2017-06-30,42.44,$2.38,17.83
2017-03-31,43.44,$2.39,18.18
2016-12-31,45.11,$2.43,18.56
2016-09-30,45.43,$2.33,19.5
2016-06-30,44.9,$2.22,20.23
2016-03-31,39.71,$2.17,18.3
2015-12-31,33.95,$2.09,16.24
2015-09-30,30.77,$2.14,14.38
2015-06-30,27.39,$2.27,12.07
2015-03-31,31.03,$2.21,14.04
2014-12-31,33.01,$2.35,14.05
2014-09-30,27.31,$2.34,11.67
2014-06-30,30.57,$2.28,13.41
2014-03-31,28.15,$2.40,11.73
2013-12-31,25.75,$2.28,11.29
2013-09-30,24.27,$2.32,10.46
2013-06-30,25.03,$2.38,10.52
2013-03-31,25.7,$2.34,10.98
2012-12-31,21.7,$2.15,10.09
2012-09-30,22.23,$1.95,11.4
2012-06-30,22.2,$2.00,11.1
2012-03-31,20.47,$1.52,13.47
2011-12-31,20.6,$1.58,13.04
2011-09-30,18.69,$1.46,12.8
2011-06-30,18.8,$1.33,14.14
2011-03-31,18.24,$1.80,10.13
2010-12-31,17.15,$1.80,9.53
2010-09-30,16.32,$1.86,8.77
2010-06-30,14.37,$1.58,9.09
2010-03-31,14.42,$1.46,9.87
2009-12-31,13.85,$1.59,8.71
