Northern Trust PE Ratio Historical Data,Northern Trust PE Ratio Historical Data,Northern Trust PE Ratio Historical Data,Northern Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,83.31,,18.39
2024-03-31,88.92,$4.53,19.63
2023-12-31,83.61,$5.08,16.46
2023-09-30,68.21,$5.27,12.94
2023-06-30,72.07,$5.58,12.92
2023-03-31,84.81,$5.88,14.42
2022-12-31,84.43,$6.14,13.75
2022-09-30,80.94,$7.34,11.03
2022-06-30,90.58,$7.34,12.34
2022-03-31,108.62,$7.20,15.09
2021-12-31,110.83,$7.13,15.54
2021-09-30,99.31,$6.34,15.66
2021-06-30,105.86,$5.86,18.06
2021-03-31,95.66,$5.60,17.08
2020-12-31,84.19,$5.45,15.45
2020-09-30,69.94,$6.03,11.6
2020-06-30,70.55,$6.40,11.02
2020-03-31,66.53,$6.69,9.94
2019-12-31,92.64,$6.62,13.99
2019-09-30,80.86,$6.72,12.03
2019-06-30,77.42,$6.61,11.71
2019-03-31,77.24,$6.54,11.81
2018-12-31,70.94,$6.64,10.68
2018-09-30,86.13,$6.35,13.56
2018-06-30,86.32,$5.97,14.46
2018-03-31,86.18,$5.41,15.93
2017-12-31,83.15,$4.92,16.9
2017-09-30,76.19,$4.52,16.86
2017-06-30,80.19,$4.40,18.22
2017-03-31,71.11,$4.37,16.27
2016-12-31,72.83,$4.29,16.98
2016-09-30,55.35,$4.17,13.27
2016-06-30,53.65,$4.05,13.25
2016-03-31,52.51,$4.06,12.93
2015-12-31,57.76,$3.99,14.48
2015-09-30,54.34,$3.98,13.65
2015-06-30,60.65,$3.86,15.71
2015-03-31,54.99,$3.51,15.67
2014-12-31,52.96,$3.32,15.95
2014-09-30,53.19,$3.04,17.5
2014-06-30,49.97,$3.04,16.44
2014-03-31,50.75,$3.07,16.53
2013-12-31,47.67,$2.99,15.94
2013-09-30,41.66,$2.98,13.98
2013-06-30,44.11,$2.87,15.37
2013-03-31,41.34,$2.82,14.66
2012-12-31,37.8,$2.81,13.45
2012-09-30,34.75,$2.65,13.12
2012-06-30,34.24,$2.63,13.02
2012-03-31,35.06,$2.52,13.91
2011-12-31,29.11,$2.47,11.79
2011-09-30,25.5,$2.58,9.88
2011-06-30,33.26,$2.51,13.25
2011-03-31,36.5,$2.71,13.47
2010-12-31,39.64,$2.74,14.47
2010-09-30,34.33,$2.92,11.76
2010-06-30,33.04,$3.05,10.83
2010-03-31,38.87,$3.18,12.22
2009-12-31,36.67,$3.15,11.64
