Walgreens PE Ratio Historical Data,Walgreens PE Ratio Historical Data,Walgreens PE Ratio Historical Data,Walgreens PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,16.03,,0.0
2024-02-29,20.97,$-7.00,0.0
2023-11-30,19.44,$0.66,29.46
2023-08-31,24.11,$-3.57,0.0
2023-05-31,28.41,$-3.84,0.0
2023-02-28,32.74,$-3.65,0.0
2022-11-30,37.74,$-3.44,0.0
2022-08-31,31.51,$5.00,6.3
2022-05-31,38.91,$6.20,6.28
2022-02-28,40.44,$7.25,5.58
2021-11-30,38.91,$7.42,5.24
2021-08-31,43.66,$2.93,14.9
2021-05-31,44.85,$2.64,16.99
2021-02-28,40.47,$-0.69,0.0
2020-11-30,31.79,$-0.81,0.0
2020-08-31,31.42,$0.50,62.84
2020-05-31,35.08,$0.82,42.78
2020-02-29,36.96,$3.90,9.48
2019-11-30,47.72,$4.07,11.72
2019-08-31,40.68,$4.30,9.46
2019-05-31,38.87,$5.10,7.62
2019-02-28,55.61,$5.32,10.45
2018-11-30,65.74,$5.44,12.08
2018-08-31,52.95,$5.07,10.44
2018-05-31,47.88,$4.28,11.19
2018-02-28,52.55,$4.00,13.14
2017-11-30,55.18,$3.62,15.24
2017-08-31,61.46,$3.78,16.26
2017-05-31,60.8,$3.97,15.32
2017-02-28,64.54,$3.91,16.51
2016-11-30,63.02,$3.78,16.67
2016-08-31,59.76,$3.82,15.64
2016-05-31,57.05,$2.89,19.74
2016-02-29,57.92,$3.06,18.93
2015-11-30,61.37,$4.14,14.82
2015-08-31,62.93,$3.98,15.81
2015-05-31,62.17,$3.71,16.76
2015-02-28,59.94,$3.28,18.27
2014-11-30,49.29,$2.13,23.14
2014-08-31,43.26,$2.00,21.63
2014-05-31,51.12,$2.94,17.39
2014-02-28,48.09,$2.84,16.93
2013-11-30,41.67,$2.85,14.62
2013-08-31,33.66,$2.56,13.15
2013-05-31,33.23,$2.26,14.7
2013-02-28,28.32,$2.23,12.7
2012-11-30,23.31,$2.31,10.09
2012-08-31,24.38,$2.53,9.64
2012-05-31,20.65,$2.94,7.02
2011-08-31,23.33,$2.94,7.94
2011-05-31,28.73,$2.56,11.22
2011-02-28,28.43,$2.69,10.57
2010-11-30,22.76,$2.36,9.65
2010-08-31,17.47,$2.42,7.22
2012-02-29,22.27,$2.42,9.2
2010-05-31,20.7,$2.08,9.95
2010-02-28,22.67,$2.14,10.6
2009-11-30,24.92,$2.11,11.81
2009-08-31,21.64,$2.25,9.62
