Rockwell Automation PE Ratio Historical Data,Rockwell Automation PE Ratio Historical Data,Rockwell Automation PE Ratio Historical Data,Rockwell Automation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,264.18,,25.82
2024-03-31,290.01,$10.23,28.35
2023-12-31,307.69,$10.51,29.28
2023-09-30,281.94,$11.96,23.57
2023-06-30,323.63,$12.26,26.4
2023-03-31,287.02,$11.36,25.27
2022-12-31,250.93,$9.23,27.19
2022-09-30,208.64,$7.97,26.18
2022-06-30,192.48,$5.73,33.59
2022-03-31,268.95,$5.50,48.9
2021-12-31,333.66,$8.58,38.89
2021-09-30,280.3,$11.59,24.18
2021-06-30,271.73,$13.17,20.63
2021-03-31,251.18,$13.58,18.5
2020-12-31,236.32,$11.17,21.16
2020-09-30,207.01,$8.77,23.6
2020-06-30,198.93,$6.59,30.19
2020-03-31,140.22,$6.06,23.14
2019-12-31,187.36,$7.81,23.99
2019-09-30,151.48,$5.81,26.07
2019-06-30,149.64,$8.54,17.52
2019-03-31,159.34,$7.92,20.12
2018-12-31,135.91,$6.81,19.96
2018-09-30,168.41,$4.31,39.08
2018-06-30,148.5,$3.08,48.22
2018-03-31,154.82,$3.17,48.84
2017-12-31,173.73,$2.85,60.96
2017-09-30,157.0,$6.34,24.76
2017-06-30,142.02,$6.20,22.91
2017-03-31,135.88,$5.99,22.68
2016-12-31,116.7,$5.82,20.05
2016-09-30,105.59,$5.57,18.96
2016-06-30,98.5,$5.64,17.47
2016-03-31,96.97,$5.70,17.01
2015-12-31,86.8,$5.93,14.64
2015-09-30,85.25,$6.09,14.0
2015-06-30,104.13,$6.38,16.32
2015-03-31,96.4,$6.29,15.33
2014-12-31,91.91,$6.07,15.14
2014-09-30,90.28,$5.92,15.25
2014-06-30,102.3,$5.66,18.07
2014-03-31,101.3,$5.68,17.84
2013-12-31,95.63,$5.63,16.99
2013-09-30,86.11,$5.36,16.06
2013-06-30,66.59,$5.21,12.78
2013-03-31,68.76,$5.09,13.51
2012-12-31,66.54,$5.01,13.28
2012-09-30,54.76,$5.14,10.65
2012-06-30,51.67,$5.15,10.03
2012-03-31,62.0,$5.05,12.28
2011-12-31,56.78,$5.03,11.29
2011-09-30,43.07,$4.80,8.97
2011-06-30,66.28,$4.32,15.34
2011-03-31,72.01,$3.92,18.37
2010-12-31,54.34,$3.73,14.57
2010-09-30,46.53,$3.22,14.45
2010-06-30,36.75,$2.51,14.64
2010-03-31,41.99,$1.91,21.99
2009-12-31,34.81,$1.25,27.84
