Genuine Parts PE Ratio Historical Data,Genuine Parts PE Ratio Historical Data,Genuine Parts PE Ratio Historical Data,Genuine Parts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,145.22,,16.19
2024-03-31,154.93,$8.97,17.27
2023-12-31,137.58,$8.96,15.35
2023-09-30,142.4,$8.90,16.0
2023-06-30,165.87,$9.03,18.37
2022-12-31,168.05,$8.31,20.22
2022-09-30,143.93,$8.33,17.28
2022-06-30,127.47,$8.27,15.41
2022-03-31,119.99,$7.24,16.57
2021-12-31,132.54,$6.88,19.26
2023-03-31,162.95,$6.59,24.73
2021-09-30,113.89,$5.63,20.23
2021-06-30,118.03,$5.61,21.04
2021-03-31,107.2,$0.34,315.28
2020-12-31,92.44,$-0.22,0.0
2020-09-30,86.89,$-1.34,0.0
2020-06-30,78.75,$-1.35,0.0
2020-03-31,60.45,$4.09,14.78
2019-12-31,94.5,$4.24,22.29
2019-09-30,87.94,$5.45,16.14
2019-06-30,90.72,$5.38,16.86
2019-03-31,97.39,$5.39,18.07
2018-12-31,82.88,$5.50,15.07
2018-09-30,85.19,$4.96,17.17
2018-06-30,78.11,$4.55,17.17
2018-03-31,75.87,$4.30,17.64
2017-12-31,79.61,$4.18,19.04
2017-09-30,79.57,$4.47,17.8
2017-06-30,76.55,$4.63,16.53
2017-03-31,75.71,$4.62,16.39
2016-12-31,77.71,$4.59,16.93
2016-09-30,81.17,$4.64,17.49
2016-06-30,81.28,$4.64,17.52
2016-03-31,79.22,$4.64,17.07
2015-12-31,68.0,$4.64,14.66
2015-09-30,65.18,$4.64,14.05
2015-06-30,69.87,$4.64,15.06
2015-03-31,72.24,$4.64,15.57
2014-12-31,82.07,$4.61,17.8
2014-09-30,67.18,$4.51,14.89
2014-06-30,66.81,$4.39,15.22
2014-03-31,65.64,$4.50,14.59
2013-12-31,62.47,$4.41,14.16
2013-09-30,60.34,$4.47,13.5
2013-06-30,57.83,$4.46,12.97
2013-03-31,57.37,$4.15,13.82
2012-12-31,46.42,$4.15,11.19
2012-09-30,44.22,$3.98,11.11
2012-06-30,43.3,$3.84,11.28
2012-03-31,44.74,$3.72,12.03
2011-12-31,43.29,$3.59,12.06
2011-09-30,35.66,$3.48,10.25
2011-06-30,37.87,$3.34,11.34
2011-03-31,37.01,$3.16,11.71
2010-12-31,35.13,$2.99,11.75
2010-09-30,30.26,$2.86,10.58
2010-06-30,26.52,$2.70,9.82
2010-03-31,28.1,$2.57,10.93
2009-12-31,25.0,$2.50,10.0
