Darden Restaurants PE Ratio Historical Data,Darden Restaurants PE Ratio Historical Data,Darden Restaurants PE Ratio Historical Data,Darden Restaurants PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,147.6,,17.3
2024-02-29,169.31,$8.53,19.85
2023-11-30,153.94,$8.27,18.61
2023-08-31,151.54,$8.03,18.87
2023-05-31,153.25,$8.68,17.66
2023-02-28,137.13,$8.03,17.08
2022-11-30,139.82,$7.17,19.5
2022-05-31,116.6,$7.40,15.76
2022-02-28,134.29,$7.94,16.91
2021-11-30,126.61,$7.57,16.73
2021-08-31,137.3,$7.07,19.42
2021-05-31,129.54,$6.05,21.41
2022-08-31,116.59,$3.55,32.84
2021-02-28,123.46,$-1.87,0.0
2020-11-30,96.79,$-0.96,0.0
2020-08-31,77.46,$-1.49,0.0
2020-05-31,68.69,$-0.40,0.0
2020-02-29,87.14,$5.13,16.99
2019-11-30,105.05,$5.03,20.88
2019-08-31,106.47,$5.75,18.52
2019-05-31,101.64,$5.70,17.83
2019-02-28,97.33,$5.42,17.96
2018-11-30,95.29,$5.36,17.78
2018-08-31,99.35,$5.11,19.44
2018-05-31,74.33,$4.72,15.75
2018-02-28,77.83,$4.31,18.06
2017-11-30,70.73,$3.90,18.14
2017-08-31,68.32,$3.87,17.65
2017-05-31,73.5,$3.81,19.29
2017-02-28,61.31,$3.92,15.64
2016-11-30,59.71,$3.42,17.46
2016-08-31,49.76,$3.11,16.0
2016-05-31,54.27,$2.91,18.65
2016-02-29,50.71,$2.64,19.21
2015-11-30,44.24,$2.87,15.42
2015-08-31,47.44,$2.28,20.81
2015-05-31,45.37,$1.47,30.86
2015-02-28,43.94,$1.30,33.8
2014-11-30,38.77,$1.07,36.24
2014-08-31,31.84,$1.48,21.52
2014-05-31,33.32,$2.15,15.5
2014-02-28,33.58,$2.51,13.38
2013-11-30,34.7,$2.71,12.8
2013-08-31,29.71,$2.82,10.54
2013-05-31,32.96,$3.14,10.5
2013-02-28,29.15,$3.28,8.89
2012-11-30,32.95,$3.51,9.39
2012-08-31,32.08,$3.65,8.79
2012-05-31,31.63,$3.58,8.84
2012-02-29,30.91,$3.42,9.04
2011-11-30,28.65,$3.25,8.81
2011-08-31,28.6,$3.38,8.46
2011-05-31,29.87,$3.40,8.79
2011-02-28,27.61,$3.21,8.6
2010-11-30,28.48,$3.07,9.28
2010-08-31,23.83,$2.97,8.02
2010-05-31,24.58,$2.84,8.65
2010-02-28,23.1,$2.91,7.94
2009-11-30,17.78,$2.75,6.47
