Goldman Sachs PE Ratio Historical Data,Goldman Sachs PE Ratio Historical Data,Goldman Sachs PE Ratio Historical Data,Goldman Sachs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,461.18,,18.01
2024-03-31,417.69,$25.61,16.31
2023-12-31,383.09,$17.35,22.08
2023-09-30,318.75,$20.12,15.84
2023-06-30,315.09,$22.38,14.08
2022-12-31,330.5,$30.06,10.99
2022-09-30,280.24,$37.55,7.46
2022-06-30,281.92,$38.09,7.4
2022-03-31,311.41,$45.29,6.88
2021-12-31,358.71,$49.55,7.24
2023-03-31,317.11,$57.34,5.53
2021-09-30,352.6,$60.63,5.82
2021-06-30,352.29,$55.38,6.36
2021-03-31,302.51,$46.62,6.49
2020-12-31,243.04,$31.13,7.81
2020-09-30,184.23,$23.74,7.76
2020-06-30,180.06,$18.85,9.55
2020-03-31,139.96,$18.40,7.61
2019-12-31,206.88,$21.00,9.85
2019-09-30,185.41,$22.35,8.3
2019-06-30,181.94,$23.84,7.63
2019-03-31,169.96,$24.01,7.08
2018-12-31,147.29,$25.25,5.83
2018-09-30,197.71,$13.70,14.43
2018-06-30,193.83,$12.44,15.58
2018-03-31,220.56,$10.41,21.19
2017-12-31,222.46,$8.61,25.84
2017-09-30,206.48,$19.20,10.75
2017-06-30,192.51,$19.06,10.1
2017-03-31,198.62,$18.83,10.55
2016-12-31,206.49,$14.95,13.81
2016-09-30,138.64,$12.77,10.86
2016-06-30,127.25,$9.87,12.89
2015-12-31,153.06,$12.09,12.66
2015-09-30,147.06,$15.20,9.68
2015-06-30,176.1,$14.98,11.76
2015-03-31,158.05,$17.57,9.0
2014-12-31,162.47,$15.73,10.33
2016-03-31,133.89,$15.37,8.71
2014-09-30,153.38,$17.29,8.87
2014-06-30,139.47,$15.60,8.94
2014-03-31,136.02,$15.20,8.95
2013-12-31,146.65,$15.47,9.48
2013-09-30,130.47,$16.47,7.92
2013-06-30,124.32,$16.44,7.56
2013-03-31,120.57,$14.52,8.3
2012-12-31,104.17,$14.15,7.36
2012-09-30,92.45,$10.39,8.9
2012-06-30,77.62,$6.70,11.58
2012-03-31,100.23,$6.77,14.8
2011-12-31,72.66,$4.41,16.48
2011-09-30,75.67,$6.36,11.9
2011-06-30,106.19,$10.18,10.43
2011-03-31,126.23,$9.11,13.86
2010-12-31,133.55,$13.14,10.16
2010-09-30,114.57,$17.55,6.53
2010-06-30,103.76,$19.82,5.23
2010-03-31,134.54,$23.97,5.61
2009-12-31,132.83,$21.77,6.1
