EPAM Systems PE Ratio Historical Data,EPAM Systems PE Ratio Historical Data,EPAM Systems PE Ratio Historical Data,EPAM Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,180.11,,24.64
2024-03-31,276.16,$7.31,37.78
2023-12-31,297.34,$7.07,42.06
2023-09-30,255.69,$8.02,31.88
2023-06-30,224.75,$9.00,24.97
2023-03-31,299.0,$7.29,41.02
2022-12-31,327.74,$7.08,46.29
2022-09-30,362.19,$6.87,52.72
2022-06-30,294.78,$6.19,47.62
2022-03-31,296.61,$7.81,37.98
2021-12-31,668.45,$8.15,82.02
2021-09-30,570.48,$7.21,79.12
2021-06-30,510.96,$6.79,75.25
2021-03-31,396.69,$5.99,66.23
2020-12-31,358.35,$5.60,63.99
2020-09-30,323.28,$5.43,59.54
2020-06-30,252.01,$5.06,49.8
2020-03-31,185.66,$4.94,37.58
2019-12-31,212.16,$4.52,46.94
2019-09-30,182.32,$4.38,41.63
2019-06-30,173.1,$4.11,42.12
2018-12-31,116.01,$4.24,27.36
2018-09-30,137.7,$2.61,52.76
2018-06-30,124.33,$2.52,49.34
2018-03-31,114.52,$2.40,47.72
2017-12-31,107.43,$1.93,55.66
2019-03-31,169.13,$2.95,57.33
2017-09-30,87.93,$2.35,37.42
2017-06-30,84.09,$2.07,40.62
2017-03-31,75.52,$1.85,40.82
2016-12-31,64.31,$1.86,34.58
2016-09-30,69.31,$1.92,36.1
2016-06-30,64.31,$1.87,34.39
2016-03-31,74.67,$1.78,41.95
2015-12-31,78.62,$1.62,48.53
2015-09-30,74.52,$1.47,50.69
2015-06-30,71.23,$1.41,50.52
2015-03-31,61.29,$1.34,45.74
2014-12-31,47.75,$1.40,34.11
2014-09-30,43.79,$1.41,31.06
2014-06-30,43.75,$1.37,31.93
2014-03-31,32.9,$1.36,24.19
2013-12-31,34.94,$1.28,27.3
2013-09-30,34.5,$1.22,28.28
2013-06-30,27.18,$1.18,23.03
2013-03-31,23.23,$1.18,19.69
2012-12-31,18.1,$1.18,15.34
