VICI Properties PE Ratio Historical Data,VICI Properties PE Ratio Historical Data,VICI Properties PE Ratio Historical Data,VICI Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,28.3,,11.19
2024-03-31,29.79,$2.53,11.77
2023-12-31,31.43,$2.48,12.67
2023-09-30,28.31,$2.39,11.84
2023-06-30,30.17,$2.18,13.84
2023-03-31,30.92,$1.43,21.62
2022-12-31,30.32,$1.26,24.07
2022-09-30,27.61,$1.07,25.8
2022-06-30,27.22,$1.01,26.95
2022-03-31,25.69,$1.61,15.96
2021-12-31,26.82,$1.76,15.24
2021-09-30,25.0,$1.85,13.51
2021-06-30,26.97,$1.52,17.74
2021-03-31,24.3,$1.19,20.42
2020-12-31,21.67,$1.00,21.67
2020-03-31,13.57,$0.84,16.15
2019-12-31,20.45,$1.26,16.23
2019-09-30,17.92,$1.42,12.62
2019-06-30,17.21,$1.46,11.79
2019-03-31,16.86,$1.47,11.47
2018-12-31,14.28,$1.43,9.99
2018-09-30,16.19,$1.80,8.99
2018-06-30,15.25,$1.92,7.94
