Johnson Controls PE Ratio Historical Data,Johnson Controls PE Ratio Historical Data,Johnson Controls PE Ratio Historical Data,Johnson Controls PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,73.9,,29.92
2024-03-31,65.32,$2.47,26.45
2023-12-31,57.31,$3.07,18.67
2023-09-30,52.53,$2.69,19.53
2023-06-30,66.82,$2.99,22.35
2023-03-31,58.72,$2.01,29.22
2022-12-31,62.02,$1.84,33.71
2022-09-30,47.44,$2.21,21.46
2022-06-30,45.83,$1.49,30.76
2022-03-31,62.3,$1.74,35.8
2021-12-31,76.84,$2.20,34.93
2021-09-30,64.06,$2.28,28.1
2021-06-30,64.34,$2.50,25.74
2021-03-31,55.71,$1.46,38.15
2020-12-31,43.3,$1.26,34.36
2020-09-30,37.75,$0.85,44.42
2020-06-30,31.35,$1.02,30.74
2020-03-31,24.57,$6.05,4.06
2019-12-31,36.81,$6.34,5.81
2019-09-30,39.43,$6.51,6.06
2019-06-30,36.9,$6.57,5.62
2019-03-31,32.78,$2.56,12.81
2018-12-31,26.12,$2.46,10.62
2018-09-30,30.59,$2.33,13.13
2018-06-30,29.03,$2.43,11.95
2018-03-31,30.35,$2.24,13.55
2017-12-31,32.59,$1.93,16.89
2017-09-30,34.22,$2.03,16.86
2017-06-30,36.59,$-0.51,0.0
2017-03-31,35.34,$-0.51,0.0
2016-12-31,34.35,$-0.32,0.0
2016-09-30,34.46,$-0.48,0.0
2016-06-30,32.72,$1.29,25.4
2016-03-31,28.04,$1.09,25.74
2015-12-31,24.19,$1.14,21.19
2015-09-30,25.24,$1.35,18.68
2015-06-30,28.86,$0.98,29.32
2015-03-31,32.14,$3.85,8.34
2014-12-31,32.6,$3.91,8.35
2014-09-30,32.98,$4.10,8.04
2014-06-30,33.61,$4.68,7.18
2014-03-31,31.12,$1.72,18.12
2013-12-31,30.0,$1.42,21.07
2013-09-30,25.31,$1.18,21.39
2013-06-30,23.6,$-0.14,0.0
2013-03-31,22.8,$0.10,218.0
2012-12-31,20.74,$0.67,30.95
2012-09-30,19.78,$1.06,18.7
2012-06-30,18.49,$2.90,6.37
2012-03-31,19.56,$3.16,6.19
2011-12-31,16.18,$3.12,5.19
2011-09-30,14.04,$3.78,3.71
2011-06-30,16.94,$3.45,4.92
2011-03-31,15.26,$3.18,4.79
2010-12-31,14.06,$3.17,4.43
2010-09-30,12.39,$2.43,5.1
2010-06-30,11.82,$2.32,5.08
2010-03-31,12.76,$2.42,5.28
2009-12-31,11.84,$-3.95,0.0
