Alliant Energy PE Ratio Historical Data,Alliant Energy PE Ratio Historical Data,Alliant Energy PE Ratio Historical Data,Alliant Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,49.95,,18.16
2024-03-31,49.92,$2.75,18.15
2023-12-31,50.32,$2.78,18.1
2023-09-30,47.08,$2.74,17.18
2023-06-30,50.57,$2.62,19.3
2023-03-31,51.04,$2.61,19.56
2022-12-31,52.33,$2.73,19.17
2022-09-30,49.82,$2.65,18.8
2022-06-30,54.71,$2.77,19.75
2022-03-31,57.92,$2.71,21.37
2021-12-31,56.58,$2.20,25.72
2021-09-30,51.16,$2.83,18.08
2021-06-30,50.61,$2.35,21.54
2020-12-31,46.06,$2.48,18.57
2020-09-30,45.85,$2.68,17.11
2020-06-30,42.17,$2.38,17.72
2020-03-31,42.24,$2.78,15.19
2019-12-31,47.56,$2.48,19.18
2021-03-31,48.81,$2.55,19.14
2019-09-30,46.56,$2.23,20.88
2019-06-30,42.08,$2.16,19.48
2019-03-31,40.1,$2.19,18.31
2018-12-31,35.65,$2.18,16.35
2018-09-30,35.65,$2.23,15.99
2018-06-30,35.16,$2.09,16.82
2018-03-31,33.69,$2.07,16.27
2017-12-31,34.83,$1.99,17.5
2017-09-30,33.73,$1.86,18.14
2017-06-30,32.35,$1.70,19.03
2017-03-31,31.64,$1.66,19.06
2016-12-31,30.01,$1.65,18.25
2016-09-30,30.11,$1.52,19.87
2016-06-30,30.97,$1.74,17.8
2016-03-31,28.73,$1.67,17.2
2015-12-31,23.93,$1.68,14.24
2015-09-30,22.2,$1.80,12.34
2015-06-30,21.71,$1.70,12.81
2015-03-31,23.49,$1.68,14.03
2014-12-31,24.57,$1.73,14.25
2014-09-30,20.33,$1.75,11.62
2014-06-30,22.14,$1.77,12.51
2014-03-31,20.48,$1.79,11.48
2013-12-31,18.42,$1.62,11.41
2013-09-30,17.53,$1.63,10.76
2013-06-30,17.68,$1.60,11.05
2013-03-31,17.44,$1.61,10.87
2012-12-31,15.11,$1.45,10.42
2012-09-30,14.78,$1.40,10.59
2012-06-30,15.37,$1.27,12.15
2012-03-31,14.47,$1.20,12.11
2011-12-31,14.58,$1.37,10.68
2011-09-30,12.65,$1.33,9.55
2011-06-30,13.16,$1.45,9.07
2011-03-31,12.46,$1.44,8.68
2010-12-31,11.63,$1.30,8.95
2010-09-30,11.38,$1.33,8.55
2010-06-30,9.82,$0.46,21.59
2010-03-31,10.17,$0.37,27.49
2009-12-31,9.14,$0.51,18.09
