Mastercard PE Ratio Historical Data,Mastercard PE Ratio Historical Data,Mastercard PE Ratio Historical Data,Mastercard PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,451.18,,35.86
2024-03-31,480.91,$12.58,38.23
2023-12-31,425.26,$11.83,35.95
2023-09-30,394.18,$11.48,34.34
2023-06-30,391.01,$10.67,36.65
2023-03-31,360.73,$10.01,36.04
2022-12-31,344.63,$10.22,33.72
2022-09-30,281.35,$10.01,28.11
2022-06-30,311.69,$9.87,31.58
2022-03-31,352.59,$9.61,36.69
2021-12-31,354.03,$8.76,40.41
2021-09-30,342.14,$8.13,42.08
2021-06-30,358.85,$7.20,49.84
2021-03-31,349.55,$6.53,53.53
2020-12-31,349.99,$6.38,54.86
2020-09-30,331.2,$6.67,49.66
2020-06-30,289.22,$7.23,40.0
2020-03-31,235.92,$7.82,30.17
2019-12-31,291.23,$7.94,36.68
2019-09-30,264.55,$6.74,39.25
2019-06-30,257.38,$6.49,39.66
2019-03-31,228.77,$4.70,48.67
2018-12-31,183.3,$4.24,43.23
2018-09-30,216.04,$4.47,48.33
2017-12-31,146.26,$3.65,40.07
2017-09-30,136.24,$4.30,31.68
2017-06-30,116.97,$4.04,28.95
2017-03-31,108.11,$3.83,28.23
2016-12-31,99.04,$3.69,26.84
2016-09-30,97.44,$3.62,26.92
2016-06-30,84.13,$3.40,24.74
2016-03-31,90.1,$3.32,27.14
2015-12-31,92.64,$3.35,27.65
2015-09-30,85.61,$3.25,26.34
2015-06-30,88.65,$3.26,27.19
2015-03-31,81.78,$3.25,25.16
2014-12-31,81.4,$3.09,26.34
2014-09-30,69.73,$2.92,23.88
2014-06-30,69.21,$2.78,24.92
2014-03-31,70.26,$2.67,26.29
2013-12-31,78.57,$2.57,30.62
2013-09-30,63.21,$2.53,24.97
2013-06-30,53.93,$3.31,16.32
2013-03-31,50.74,$3.23,15.73
2012-12-31,46.04,$3.16,14.58
2018-06-30,190.48,$3.21,59.38
2012-09-30,42.28,$1.72,24.54
2012-06-30,40.25,$1.67,24.12
2012-03-31,39.33,$2.52,15.58
2011-12-31,34.85,$2.46,14.14
2011-09-30,29.63,$2.88,10.3
2018-03-31,169.53,$2.63,64.43
2011-06-30,28.14,$1.62,17.43
2011-03-31,23.49,$1.49,15.79
2010-12-31,20.9,$1.41,14.88
2010-09-30,20.88,$1.32,15.83
2010-06-30,18.58,$1.28,14.58
2010-03-31,23.64,$1.19,19.82
2009-12-31,23.81,$1.13,21.13
