Carnival PE Ratio Historical Data,Carnival PE Ratio Historical Data,Carnival PE Ratio Historical Data,Carnival PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,15.13,,58.19
2024-02-29,15.86,$0.26,61.0
2023-11-30,15.06,$-0.12,0.0
2023-08-31,15.82,$-1.35,0.0
2023-05-31,11.23,$-2.79,0.0
2023-02-28,10.62,$-4.08,0.0
2022-11-30,9.93,$-5.19,0.0
2022-08-31,9.46,$-6.23,0.0
2022-05-31,13.88,$-8.08,0.0
2022-02-28,20.33,$-8.30,0.0
2021-11-30,17.62,$-8.44,0.0
2021-08-31,24.14,$-8.54,0.0
2021-05-31,29.56,$-9.73,0.0
2021-02-28,26.75,$-13.97,0.0
2020-11-30,19.98,$-13.31,0.0
2020-08-31,16.48,$-10.29,0.0
2020-05-31,15.74,$-4.02,0.0
2020-02-29,33.46,$2.70,12.39
2019-11-30,44.56,$4.32,10.31
2019-08-31,43.07,$4.42,9.74
2019-05-31,49.47,$4.25,11.64
2019-02-28,55.28,$4.38,12.62
2018-11-30,57.21,$4.44,12.88
2018-08-31,57.87,$4.49,12.89
2018-05-31,58.13,$3.91,14.87
2018-02-28,61.97,$3.65,16.98
2017-11-30,60.4,$3.94,15.33
2017-08-31,63.5,$5.11,12.43
2017-05-31,58.21,$4.08,14.27
2016-11-30,46.12,$3.74,12.33
2016-08-31,42.59,$3.26,13.07
2016-05-31,42.23,$1.81,23.33
2016-02-29,42.13,$2.57,16.39
2015-11-30,44.09,$2.68,16.45
2017-02-28,50.51,$2.39,21.13
2015-08-31,42.71,$1.78,23.99
2015-05-31,39.96,$1.82,21.96
2015-02-28,37.74,$1.67,22.6
2014-11-30,37.67,$1.59,23.69
2014-08-31,32.12,$1.80,17.85
2014-05-31,33.72,$1.40,24.09
2014-02-28,33.2,$1.31,25.35
2013-11-30,30.04,$1.38,21.77
2013-08-31,29.81,$1.42,21.0
2013-05-31,27.16,$1.93,14.07
2013-02-28,29.13,$1.90,15.33
2012-11-30,30.85,$1.67,18.47
2012-08-31,27.49,$1.83,15.02
2012-05-31,25.25,$1.81,13.95
2012-02-29,23.65,$2.05,11.54
2011-11-30,25.71,$2.42,10.62
2011-08-31,25.38,$2.45,10.36
2011-05-31,29.58,$2.38,12.43
2011-02-28,32.32,$2.44,13.25
2010-11-30,31.13,$2.49,12.5
2010-08-31,23.44,$3.51,6.68
2010-05-31,27.15,$2.22,12.23
2009-11-30,23.87,$2.23,10.7
2009-08-31,21.8,$2.21,9.86
