Cboe Global Markets PE Ratio Historical Data,Cboe Global Markets PE Ratio Historical Data,Cboe Global Markets PE Ratio Historical Data,Cboe Global Markets PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2018-09-14,104.2,,21.75
2018-09-30,104.2,$4.79,21.75
2018-06-30,103.75,$4.56,22.75
2018-03-31,113.44,$4.43,25.61
2017-12-31,123.57,$3.55,34.81
2017-09-30,106.51,$1.84,57.89
2017-06-30,90.21,$1.81,49.84
2017-03-31,79.78,$1.83,43.6
2016-12-31,72.49,$2.27,31.93
2016-09-30,63.39,$2.33,27.21
2016-06-30,64.88,$2.64,24.58
2016-03-31,63.4,$2.56,24.76
2015-12-31,62.75,$2.46,25.51
2015-09-30,64.64,$2.43,26.6
2015-06-30,54.94,$2.19,25.09
2015-03-31,54.92,$2.15,25.55
2014-12-31,60.47,$2.21,27.36
2014-09-30,50.86,$2.15,23.66
2014-06-30,46.57,$2.05,22.72
2014-03-31,53.38,$2.07,25.79
2013-12-31,48.84,$1.99,24.54
2013-09-30,41.97,$1.92,21.86
2013-06-30,43.11,$1.97,21.88
2013-03-31,34.02,$1.89,18.0
2012-12-31,27.02,$1.78,15.18
2012-09-30,26.16,$1.68,15.57
2012-06-30,24.5,$1.61,15.22
2012-03-31,25.04,$1.53,16.36
2011-12-31,22.68,$1.52,14.92
2011-09-30,21.37,$1.48,14.44
2011-06-30,21.38,$1.23,17.38
2011-03-31,25.08,$1.14,22.0
