Illinois Tool Works PE Ratio Historical Data,Illinois Tool Works PE Ratio Historical Data,Illinois Tool Works PE Ratio Historical Data,Illinois Tool Works PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,240.07,,23.68
2024-03-31,268.33,$10.14,26.46
2023-12-31,260.58,$9.74,26.75
2023-09-30,229.11,$10.31,22.22
2023-06-30,247.37,$10.11,24.47
2023-03-31,239.47,$10.00,23.95
2022-12-31,215.52,$9.78,22.04
2022-09-30,175.7,$8.76,20.06
2022-06-30,176.0,$8.43,20.88
2022-03-31,200.86,$8.51,23.6
2021-12-31,235.4,$8.51,27.66
2021-09-30,196.11,$8.60,22.8
2021-06-30,210.97,$8.41,25.09
2021-03-31,207.98,$6.97,29.84
2020-12-31,190.45,$6.63,28.73
2020-09-30,179.47,$6.60,27.19
2020-06-30,161.47,$6.81,23.71
2020-03-31,130.42,$7.71,16.92
2019-12-31,163.62,$7.75,21.11
2019-09-30,141.7,$7.59,18.67
2019-06-30,135.62,$7.45,18.2
2019-03-31,128.21,$7.51,17.07
2018-12-31,112.38,$7.60,14.79
2018-09-30,124.19,$5.55,22.38
2018-06-30,121.06,$5.50,22.01
2018-03-31,136.13,$5.22,26.08
2017-12-31,144.25,$4.86,29.68
2017-09-30,127.33,$6.53,19.5
2017-06-30,122.62,$6.18,19.84
2017-03-31,112.89,$5.95,18.97
2016-12-31,103.84,$5.70,18.22
2016-09-30,101.09,$5.48,18.45
2016-06-30,87.39,$5.37,16.27
2016-03-31,85.48,$5.21,16.41
2015-12-31,76.92,$5.13,14.99
2015-09-30,67.91,$5.06,13.42
2015-06-30,75.22,$5.01,15.01
2015-03-31,79.19,$7.37,10.75
2014-12-31,76.82,$7.27,10.57
2014-09-30,68.13,$7.04,9.68
2014-06-30,70.27,$6.71,10.47
2014-03-31,64.96,$4.08,15.92
2013-12-31,66.81,$3.75,17.81
2013-09-30,60.3,$4.93,12.23
2013-06-30,54.39,$5.04,10.79
2013-03-31,47.65,$5.86,8.13
2012-12-31,47.26,$6.08,7.77
2012-09-30,45.92,$4.88,9.41
2012-06-30,40.58,$4.80,8.45
2012-03-31,43.52,$3.94,11.05
2011-12-31,35.37,$4.18,8.46
2011-09-30,31.25,$4.06,7.7
2011-06-30,42.09,$3.85,10.93
2011-03-31,39.78,$3.69,10.78
2010-12-31,39.3,$3.03,12.97
2010-09-30,34.38,$3.24,10.61
2010-06-30,29.97,$3.01,9.96
2010-03-31,34.14,$2.53,13.49
2009-12-31,34.37,$1.87,18.38
