Deere PE Ratio Historical Data,Deere PE Ratio Historical Data,Deere PE Ratio Historical Data,Deere PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,374.96,,15.19
2024-04-30,391.41,$24.69,15.85
2024-01-31,392.17,$34.34,11.42
2023-10-31,362.72,$34.66,10.46
2023-07-31,425.0,$33.84,12.56
2023-04-30,372.81,$29.80,12.51
2023-01-31,415.73,$26.96,15.42
2022-10-31,388.08,$23.33,16.63
2022-07-31,335.35,$20.01,16.76
2022-04-30,367.56,$19.17,19.17
2022-01-31,365.52,$18.04,20.26
2021-10-31,331.39,$18.99,17.45
2021-07-31,349.02,$17.26,20.22
2021-04-30,357.03,$14.51,24.61
2021-01-31,277.37,$10.94,25.35
2020-10-31,216.35,$9.34,23.16
2020-07-31,168.27,$9.76,17.24
2020-04-30,137.76,$10.71,12.86
2019-10-31,163.78,$10.14,16.15
2019-07-31,155.09,$10.29,15.07
2019-04-30,154.36,$9.11,16.94
2019-01-31,152.11,$8.37,18.17
2018-10-31,124.96,$10.50,11.9
2020-01-31,149.8,$6.42,23.33
2018-07-31,132.98,$6.36,20.91
2018-04-30,123.68,$5.55,22.29
2018-01-31,151.5,$4.37,34.67
2017-10-31,120.51,$6.64,18.15
2017-07-31,115.77,$5.97,19.39
2017-04-30,100.24,$5.55,18.06
2017-01-31,95.62,$4.62,20.7
2016-10-31,78.41,$4.81,16.3
2016-07-31,68.52,$4.99,13.73
2016-04-30,73.62,$4.97,14.81
2016-01-31,66.91,$5.44,12.3
2015-10-31,67.25,$5.76,11.67
2015-07-31,80.88,$6.51,12.42
2015-04-30,76.93,$7.31,10.52
2015-01-31,71.91,$7.93,9.07
2014-10-31,71.73,$8.62,8.32
2014-07-31,70.85,$8.90,7.96
2014-04-30,77.19,$9.13,8.45
2014-01-31,70.68,$9.24,7.65
2013-10-31,66.92,$9.18,7.29
2013-07-31,67.51,$9.05,7.46
2013-04-30,72.12,$9.10,7.93
2012-10-31,68.24,$7.64,8.93
2012-07-31,61.01,$7.51,8.12
2012-04-30,65.03,$7.18,9.06
2012-01-31,67.63,$6.26,10.8
2011-10-31,59.27,$7.08,8.37
2013-01-31,75.53,$6.66,11.34
2011-07-31,60.94,$6.08,10.02
2011-04-30,75.3,$5.83,12.92
2011-01-31,69.94,$4.99,14.02
2010-10-31,58.84,$4.36,13.5
2010-07-31,50.88,$2.76,18.43
2010-04-30,45.41,$2.31,19.66
2010-01-31,37.75,$2.14,17.64
2009-10-31,34.25,$2.05,16.71
