Fiserv PE Ratio Historical Data,Fiserv PE Ratio Historical Data,Fiserv PE Ratio Historical Data,Fiserv PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,150.34,,28.1
2024-03-31,159.82,$5.35,29.87
2023-12-31,132.84,$5.00,26.57
2023-09-30,112.96,$4.78,23.63
2023-06-30,126.15,$3.97,31.78
2023-03-31,113.03,$3.79,29.82
2022-12-31,101.07,$3.92,25.78
2022-09-30,93.57,$3.19,29.33
2022-06-30,88.97,$3.08,28.89
2022-03-31,101.4,$2.56,39.61
2021-12-31,103.79,$1.99,52.16
2021-09-30,108.5,$1.93,56.22
2021-06-30,106.89,$1.68,63.63
2021-03-31,119.04,$1.28,93.0
2020-12-31,113.86,$1.40,81.33
2020-09-30,103.05,$1.32,78.07
2020-06-30,97.62,$1.26,77.48
2020-03-31,94.99,$1.82,52.19
2019-12-31,115.63,$1.81,63.88
2019-09-30,103.59,$2.16,47.96
2019-06-30,91.16,$2.38,38.3
2019-03-31,88.28,$2.42,36.48
2018-12-31,73.49,$2.86,25.7
2018-09-30,82.38,$3.44,23.98
2018-06-30,74.09,$3.43,21.63
2018-03-31,71.31,$3.34,21.38
2017-12-31,65.57,$2.90,22.61
2017-09-30,64.48,$2.11,30.63
2017-06-30,61.17,$2.05,29.91
2017-03-31,57.66,$2.01,28.76
2016-12-31,53.14,$2.08,25.61
2016-09-30,49.74,$1.99,24.99
2016-06-30,54.37,$1.97,27.6
2016-03-31,51.29,$1.77,29.06
2015-12-31,45.73,$1.50,30.59
2015-09-30,43.31,$1.46,29.76
2015-06-30,41.42,$1.47,28.17
2015-03-31,39.7,$1.53,25.95
2014-12-31,35.49,$1.49,23.82
2014-09-30,32.32,$1.55,20.92
2014-06-30,30.16,$1.37,21.97
2014-03-31,28.35,$1.33,21.31
2013-12-31,29.53,$1.22,24.15
2013-09-30,25.26,$1.13,22.31
2013-06-30,21.85,$1.09,20.14
2013-03-31,21.97,$1.10,20.06
2012-12-31,19.76,$1.11,17.76
2012-09-30,18.51,$1.04,17.88
2012-06-30,18.06,$1.00,18.01
2012-03-31,17.35,$0.87,20.05
2011-12-31,14.69,$0.82,17.91
2011-09-30,12.69,$0.76,16.65
2011-06-30,15.66,$0.76,20.67
2011-03-31,15.68,$0.81,19.36
2010-12-31,14.64,$0.82,17.91
2010-09-30,13.46,$0.81,16.56
2010-06-30,11.42,$0.78,14.63
2010-03-31,12.69,$0.80,15.91
2009-12-31,12.12,$0.77,15.84
