Datadog PE Ratio Historical Data,Datadog PE Ratio Historical Data,Datadog PE Ratio Historical Data,Datadog PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,123.6,,386.25
2024-03-31,123.6,$0.32,386.25
2023-12-31,121.38,$0.12,1011.5
2023-09-30,91.09,$-0.12,0.0
2023-06-30,98.38,$-0.26,0.0
2023-03-31,72.66,$-0.27,0.0
2022-12-31,73.5,$-0.16,0.0
2022-09-30,88.78,$-0.05,0.0
2022-06-30,95.24,$0.01,0.0
2022-03-31,151.47,$-0.00,0.0
2021-12-31,178.11,$-0.07,0.0
2021-09-30,141.35,$-0.14,0.0
2021-06-30,104.08,$-0.17,0.0
2021-03-31,83.34,$-0.14,0.0
2020-12-31,98.44,$-0.08,0.0
2020-09-30,102.16,$-0.03,0.0
2020-06-30,86.95,$-0.02,0.0
