Roper Technologies PE Ratio Historical Data,Roper Technologies PE Ratio Historical Data,Roper Technologies PE Ratio Historical Data,Roper Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,544.66,,39.53
2024-03-31,560.06,$13.78,40.64
2023-12-31,543.64,$12.89,42.18
2023-09-30,482.25,$27.34,17.64
2023-06-30,478.1,$27.17,17.6
2023-03-31,437.53,$26.29,16.64
2022-12-31,428.33,$42.58,10.06
2022-09-30,355.93,$27.22,13.08
2022-06-30,389.98,$26.87,14.51
2022-03-31,466.04,$27.04,17.24
2021-12-31,484.76,$10.83,44.76
2021-09-30,439.14,$10.54,41.66
2021-06-30,462.29,$10.04,46.05
2021-03-31,396.02,$9.43,42.0
2020-12-31,422.71,$8.98,47.07
2020-09-30,386.93,$14.85,26.06
2020-06-30,379.73,$15.28,24.85
2020-03-31,304.45,$15.58,19.54
2019-12-31,345.39,$16.83,20.52
2019-09-30,347.22,$11.01,31.54
2019-06-30,356.19,$10.74,33.16
2019-03-31,332.12,$10.55,31.48
2018-12-31,258.85,$9.05,28.6
2018-09-30,287.28,$10.86,26.45
2018-06-30,267.19,$10.33,25.87
2018-03-31,271.41,$9.88,27.47
2017-12-31,250.05,$9.38,26.66
2017-09-30,234.66,$6.89,34.06
2017-06-30,222.88,$6.68,33.37
2017-03-31,198.44,$6.48,30.62
2016-12-31,175.61,$6.43,27.31
2016-09-30,174.74,$6.70,26.08
2016-06-30,163.04,$6.65,24.52
2016-03-31,174.42,$6.80,25.65
2015-12-31,180.83,$6.86,26.36
2015-09-30,149.08,$6.65,22.42
2015-06-30,163.83,$6.61,24.79
2015-03-31,163.15,$6.48,25.18
2014-12-31,148.06,$6.40,23.14
2014-09-30,138.35,$6.21,22.28
2014-06-30,137.89,$6.03,22.87
2014-03-31,125.9,$5.58,22.56
2013-12-31,130.59,$5.37,24.32
2013-09-30,124.95,$5.16,24.22
2013-06-30,116.67,$4.97,23.47
2013-03-31,119.41,$5.01,23.83
2012-12-31,104.57,$4.85,21.56
2012-09-30,102.79,$4.64,22.15
2012-06-30,92.08,$4.59,20.06
2012-03-31,92.49,$4.52,20.46
2011-12-31,80.9,$4.34,18.64
2011-09-30,64.07,$4.21,15.22
2011-06-30,77.35,$3.96,19.53
2011-03-31,80.19,$3.62,22.15
2010-12-31,70.78,$3.33,21.26
2010-09-30,60.28,$3.00,20.09
2010-06-30,51.66,$2.74,18.86
2010-03-31,53.31,$2.64,20.19
2009-12-31,48.18,$2.58,18.68
