Chipotle Mexican Grill PE Ratio Historical Data,Chipotle Mexican Grill PE Ratio Historical Data,Chipotle Mexican Grill PE Ratio Historical Data,Chipotle Mexican Grill PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,3151.63,,67.26
2024-03-31,2906.77,$46.86,62.03
2023-12-31,2286.96,$44.35,51.57
2023-09-30,1831.83,$42.16,43.45
2023-06-30,2139.0,$40.04,53.42
2023-03-31,1708.29,$36.97,46.21
2022-12-31,1387.49,$32.06,43.28
2022-09-30,1502.76,$28.73,52.31
2022-06-30,1307.26,$26.71,48.94
2022-03-31,1582.03,$24.06,65.75
2021-12-31,1748.25,$25.16,69.49
2021-09-30,1817.52,$23.29,78.04
2021-06-30,1550.34,$16.40,94.53
2020-12-31,1386.71,$12.50,110.94
2020-09-30,1243.71,$8.36,148.77
2020-06-30,1052.36,$9.99,105.34
2020-03-31,654.4,$13.17,49.69
2019-12-31,837.11,$13.69,61.15
2021-03-31,1420.82,$14.27,99.57
2019-09-30,840.47,$10.97,76.62
2019-06-30,732.88,$8.86,82.72
2019-03-31,710.31,$7.77,91.42
2018-12-31,431.79,$6.19,69.76
2018-09-30,454.52,$5.73,79.32
2018-03-31,323.11,$6.69,48.3
2017-12-31,289.03,$6.16,46.92
2017-09-30,307.83,$5.16,59.66
2017-06-30,416.1,$6.15,67.66
2017-03-31,445.52,$4.10,108.66
2016-12-31,377.32,$3.37,111.96
2018-06-30,431.37,$1.94,222.36
2016-09-30,423.5,$2.43,174.28
2016-06-30,402.76,$6.75,59.67
2016-03-31,470.97,$10.33,45.59
2015-12-31,479.85,$15.09,31.8
2015-09-30,720.25,$16.76,42.97
2015-06-30,604.99,$16.32,37.07
2015-03-31,650.54,$15.37,42.33
2014-12-31,684.51,$14.13,48.44
2014-09-30,666.59,$12.82,52.0
2014-06-30,592.51,$11.33,52.3
2014-03-31,568.05,$10.65,53.34
2013-12-31,532.78,$10.46,50.93
2013-09-30,428.8,$9.88,43.4
2013-06-30,364.35,$9.49,38.39
2013-03-31,325.87,$9.23,35.31
2012-12-31,297.46,$8.75,34.0
2012-09-30,317.54,$8.61,36.88
2012-06-30,379.95,$8.24,46.11
2012-03-31,418.0,$7.27,57.5
2011-12-31,337.74,$6.77,49.89
2011-09-30,302.95,$6.48,46.75
2011-06-30,308.19,$6.04,51.02
2010-12-31,212.66,$5.64,37.71
2010-09-30,172.0,$5.16,33.33
2010-06-30,136.81,$5.10,26.83
2010-03-31,112.67,$4.72,23.87
2009-12-31,88.16,$4.63,19.04
2011-03-31,272.37,$4.42,61.62
