Arista Networks PE Ratio Historical Data,Arista Networks PE Ratio Historical Data,Arista Networks PE Ratio Historical Data,Arista Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,306.55,,42.69
2024-03-31,289.98,$7.18,40.39
2023-12-31,235.51,$6.57,35.85
2023-09-30,183.93,$6.00,30.66
2023-06-30,162.06,$5.41,29.96
2023-03-31,167.86,$4.80,34.97
2022-12-31,121.35,$4.27,28.42
2022-09-30,112.89,$3.67,30.76
2022-06-30,93.74,$3.24,28.91
2022-03-31,138.98,$2.92,47.6
2021-12-31,143.75,$2.64,54.5
2021-09-30,85.91,$2.47,34.85
2021-06-30,90.58,$2.29,39.51
2021-03-31,75.47,$2.13,35.39
2020-12-31,72.64,$2.00,36.37
2020-09-30,51.73,$2.23,23.17
2020-06-30,52.51,$2.35,22.34
2020-03-31,50.64,$2.48,20.46
2019-12-31,50.85,$2.66,19.12
2019-09-30,59.73,$2.37,25.18
2019-06-30,64.91,$2.25,28.91
2019-03-31,78.62,$2.13,36.95
2018-12-31,52.68,$1.96,26.91
2018-09-30,66.47,$1.76,37.87
2018-06-30,64.37,$1.66,38.9
2018-03-31,63.83,$1.52,42.13
2017-12-31,58.9,$1.27,46.56
2017-09-30,47.4,$1.12,42.51
2017-06-30,37.45,$0.83,45.25
2016-12-31,24.19,$0.62,38.86
2016-09-30,21.27,$0.58,36.99
2016-06-30,16.1,$0.67,24.02
2016-03-31,15.78,$0.64,24.84
2015-12-31,19.46,$0.60,32.57
2017-03-31,33.07,$0.53,62.1
2015-09-30,15.3,$0.37,41.07
2015-06-30,20.44,$0.35,58.39
2015-03-31,17.63,$0.35,50.02
