Philip Morris PE Ratio Historical Data,Philip Morris PE Ratio Historical Data,Philip Morris PE Ratio Historical Data,Philip Morris PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,99.93,,19.52
2024-03-31,91.62,$5.12,17.89
2023-12-31,92.79,$5.02,18.48
2023-09-30,90.04,$5.15,17.48
2023-06-30,93.61,$5.17,18.11
2023-03-31,92.03,$5.59,16.46
2022-12-31,94.48,$5.81,16.26
2022-09-30,76.52,$5.61,13.64
2022-06-30,89.71,$5.82,15.41
2022-03-31,84.28,$5.78,14.58
2021-12-31,84.08,$5.83,14.42
2021-09-30,82.78,$5.76,14.37
2021-06-30,85.47,$5.69,15.02
2021-03-31,75.61,$5.55,13.62
2020-12-31,69.61,$5.17,13.46
2020-09-30,62.14,$4.94,12.58
2020-06-30,57.15,$4.68,12.21
2020-03-31,58.56,$4.92,11.9
2019-12-31,67.02,$4.62,14.51
2019-09-30,59.0,$4.81,12.27
2019-06-30,60.04,$5.03,11.94
2019-03-31,66.59,$4.95,13.45
2018-12-31,49.65,$5.08,9.77
2018-09-30,59.7,$4.29,13.92
2018-06-30,58.28,$4.12,14.15
2018-03-31,70.74,$3.85,18.37
2017-12-31,74.37,$3.87,19.22
2017-09-30,77.35,$4.53,17.08
2017-06-30,81.07,$4.51,17.98
2017-03-31,77.26,$4.52,17.09
2016-12-31,62.04,$4.48,13.85
2016-09-30,65.18,$4.18,15.59
2016-06-30,67.49,$4.18,16.15
2016-03-31,64.44,$4.24,15.2
2015-12-31,57.14,$4.42,12.93
2015-09-30,50.96,$4.65,10.96
2015-06-30,50.84,$4.78,10.64
2015-03-31,47.19,$4.74,9.96
2014-12-31,50.38,$4.76,10.58
2014-09-30,50.97,$4.97,10.26
2014-06-30,50.92,$5.03,10.12
2014-03-31,48.93,$5.16,9.48
2013-12-31,51.47,$5.26,9.79
2013-09-30,50.59,$5.27,9.6
2013-06-30,50.07,$5.15,9.72
2013-03-31,53.07,$5.21,10.19
2012-12-31,47.44,$5.18,9.16
2012-09-30,50.5,$5.01,10.08
2012-06-30,48.54,$5.04,9.63
2012-03-31,48.84,$5.03,9.71
2011-12-31,42.88,$4.84,8.86
2011-09-30,33.74,$4.72,7.15
2011-06-30,35.69,$4.36,8.19
2011-03-31,34.75,$4.08,8.52
2010-12-31,30.68,$3.92,7.83
2010-09-30,29.05,$3.76,7.73
2010-06-30,23.5,$3.70,6.35
2010-03-31,26.4,$3.42,7.72
2009-12-31,24.12,$3.26,7.4
