Skyworks Solutions PE Ratio Historical Data,Skyworks Solutions PE Ratio Historical Data,Skyworks Solutions PE Ratio Historical Data,Skyworks Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,92.16,,17.32
2024-03-31,107.54,$5.32,20.21
2023-12-31,110.89,$5.64,19.66
2023-09-30,96.55,$6.13,15.75
2023-06-30,107.71,$6.49,16.6
2023-03-31,114.13,$6.93,16.47
2022-12-31,87.67,$7.33,11.96
2022-09-30,81.48,$7.80,10.45
2022-06-30,88.0,$7.87,11.18
2022-03-31,125.92,$8.23,15.3
2021-12-31,145.98,$8.32,17.55
2021-09-30,154.49,$8.97,17.22
2021-06-30,179.23,$8.48,21.14
2021-03-31,170.98,$7.23,23.65
2020-12-31,142.09,$6.34,22.41
2020-09-30,134.74,$4.79,28.13
2020-06-30,117.99,$4.55,25.93
2020-03-31,82.17,$4.61,17.83
2019-12-31,110.72,$4.78,23.16
2019-09-30,72.26,$4.88,14.81
2019-06-30,70.04,$5.24,13.37
2019-03-31,74.35,$5.98,12.43
2018-12-31,60.06,$6.25,9.61
2018-09-30,80.86,$5.03,16.07
2018-06-30,85.81,$4.96,17.3
2018-03-31,88.73,$4.71,18.84
2017-12-31,83.77,$4.41,19.0
2017-09-30,89.65,$5.41,16.57
2017-06-30,84.15,$5.21,16.15
2017-03-31,85.69,$4.86,17.63
2016-12-31,65.1,$4.74,13.73
2016-09-30,66.15,$5.18,12.77
2016-06-30,54.74,$5.05,10.84
2016-03-31,67.12,$5.14,13.06
2015-12-31,65.9,$4.91,13.42
2015-09-30,71.86,$4.10,17.53
2015-06-30,88.73,$3.82,23.23
2015-03-31,83.66,$3.34,25.05
2014-12-31,61.79,$2.89,21.38
2014-09-30,49.23,$2.37,20.77
2014-06-30,39.74,$1.91,20.81
2014-03-31,31.67,$1.67,18.96
2013-12-31,24.11,$1.59,15.16
2013-09-30,20.97,$1.44,14.56
2013-06-30,18.48,$1.31,14.1
2013-03-31,18.59,$1.23,15.11
2012-12-31,17.13,$1.09,15.72
2012-09-30,19.89,$1.05,18.94
2012-06-30,23.06,$1.08,21.35
2012-03-31,23.34,$1.09,21.41
2011-12-31,13.69,$1.17,11.7
2011-09-30,15.16,$1.19,12.74
2011-06-30,19.4,$1.10,17.63
2011-03-31,27.35,$1.02,26.81
2010-12-31,24.16,$0.91,26.55
2010-09-30,17.45,$0.75,23.26
2010-06-30,14.17,$0.82,17.28
2010-03-31,13.17,$0.75,17.56
2009-12-31,11.98,$0.57,21.01
