Ventas PE Ratio Historical Data,Ventas PE Ratio Historical Data,Ventas PE Ratio Historical Data,Ventas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,47.5,,0.0
2024-03-31,43.54,$-0.19,0.0
2023-12-31,49.33,$-0.11,0.0
2023-09-30,41.33,$0.01,4132.59
2023-06-30,45.88,$0.19,241.46
2023-03-31,41.68,$-0.18,0.0
2022-12-31,42.87,$-0.12,0.0
2022-09-30,37.84,$-0.11,0.0
2022-06-30,47.92,$0.05,958.32
2022-03-31,57.04,$0.39,146.26
2021-12-31,46.87,$0.14,334.8
2021-09-30,50.18,$0.53,94.68
2021-06-30,51.48,$0.40,128.7
2021-03-31,47.71,$-0.25,0.0
2020-12-31,43.5,$1.16,37.5
2020-09-30,36.88,$0.90,40.98
2020-06-30,31.85,$1.10,28.95
2020-03-31,23.02,$2.10,10.96
2019-12-31,48.18,$1.19,40.49
2019-09-30,60.11,$1.33,45.2
2019-06-30,55.66,$1.38,40.33
2019-03-31,51.36,$1.26,40.76
2018-12-31,46.58,$1.13,41.22
2018-09-30,43.24,$2.05,21.09
2018-06-30,44.63,$3.48,12.82
2018-03-31,38.28,$3.44,11.13
2017-12-31,45.66,$3.77,12.11
2017-09-30,48.91,$3.26,15.0
2017-06-30,51.6,$1.97,26.19
2017-03-31,47.75,$1.97,24.24
2016-12-31,45.35,$1.86,24.38
2016-09-30,50.59,$1.65,30.66
2016-06-30,51.6,$1.30,39.69
2016-03-31,44.12,$1.33,33.18
2015-12-31,39.04,$1.26,30.99
2015-09-30,38.28,$1.25,30.62
2015-06-30,36.65,$1.55,23.65
2015-03-31,42.59,$1.57,27.13
2014-12-31,41.38,$1.61,25.7
2014-09-30,35.36,$1.62,21.83
2014-06-30,36.18,$1.65,21.93
2014-03-31,33.8,$1.57,21.53
2013-12-31,31.6,$1.54,20.52
2013-09-30,33.49,$1.46,22.94
2013-06-30,37.42,$1.44,25.99
2013-03-31,39.07,$1.30,30.05
2012-12-31,34.22,$1.23,27.82
2012-09-30,32.6,$1.60,20.37
2012-06-30,32.74,$1.57,20.85
2012-03-31,29.3,$1.43,20.49
2011-12-31,27.98,$1.42,19.7
2011-09-30,24.79,$1.25,19.83
2011-06-30,26.16,$1.27,20.6
2011-03-31,26.66,$1.53,17.42
2010-12-31,25.49,$1.57,16.23
2010-09-30,24.77,$1.43,17.32
2010-06-30,22.33,$1.38,16.18
2010-03-31,22.32,$1.58,14.13
2009-12-31,20.32,$1.76,11.55
