PPG Industries PE Ratio Historical Data,PPG Industries PE Ratio Historical Data,PPG Industries PE Ratio Historical Data,PPG Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,131.42,,22.2
2024-03-31,144.2,$5.92,24.36
2023-12-31,148.15,$5.34,27.74
2023-09-30,127.94,$5.97,21.43
2023-06-30,145.49,$5.57,26.12
2023-03-31,130.46,$5.36,24.34
2022-12-31,122.22,$4.33,28.23
2022-09-30,107.01,$4.52,23.67
2022-06-30,110.0,$4.56,24.12
2022-03-31,125.51,$4.51,27.83
2021-12-31,164.48,$6.01,27.37
2021-09-30,135.91,$5.95,22.84
2021-06-30,160.76,$6.38,25.2
2021-03-31,141.86,$5.01,28.32
2020-12-31,135.62,$4.45,30.48
2020-09-30,114.37,$4.53,25.25
2020-06-30,98.89,$4.21,23.49
2020-03-31,77.52,$4.92,15.76
2019-12-31,123.25,$4.98,24.75
2019-09-30,108.99,$5.31,20.53
2019-06-30,106.86,$5.28,20.24
2018-12-31,92.8,$5.54,16.75
2018-09-30,98.63,$5.18,19.04
2018-06-30,93.34,$5.99,15.58
2018-03-31,100.0,$6.42,15.58
2017-12-31,104.27,$6.31,16.53
2017-09-30,96.61,$6.89,14.02
2017-06-30,97.35,$3.84,25.35
2017-03-31,92.68,$3.27,28.34
2016-12-31,83.25,$3.27,25.46
2016-09-30,90.43,$3.13,28.89
2016-06-30,90.77,$5.41,16.78
2016-03-31,96.81,$5.27,18.37
2015-12-31,85.48,$5.15,16.6
2015-09-30,75.59,$4.29,17.62
2015-06-30,98.56,$4.03,24.46
2015-03-31,96.73,$4.18,23.17
2014-12-31,98.85,$7.49,13.2
2014-09-30,83.86,$8.08,10.38
2014-06-30,89.28,$7.53,11.86
2014-03-31,81.91,$7.33,11.17
2013-12-31,80.04,$11.00,7.28
2013-09-30,70.26,$10.84,6.48
2013-06-30,61.35,$11.15,5.5
2013-03-31,55.9,$11.15,5.02
2012-12-31,56.24,$3.03,18.56
2012-09-30,47.49,$3.00,15.85
2012-06-30,43.65,$2.89,15.13
2012-03-31,39.19,$3.03,12.95
2011-12-31,33.94,$4.05,8.39
2011-09-30,28.54,$4.05,7.05
2019-03-31,102.91,$3.69,27.89
2011-06-30,36.38,$3.17,11.48
2011-03-31,37.92,$2.93,12.96
2010-12-31,33.27,$2.32,14.37
2010-09-30,28.61,$2.12,13.5
2010-06-30,23.56,$1.81,13.02
2010-03-31,25.29,$1.44,17.56
2009-12-31,22.44,$1.01,22.22
