Dow PE Ratio Historical Data,Dow PE Ratio Historical Data,Dow PE Ratio Historical Data,Dow PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,57.76,,34.38
2024-03-31,57.93,$1.68,34.48
2023-12-31,54.84,$0.82,66.88
2023-09-30,51.56,$1.82,28.33
2023-06-30,53.26,$2.42,22.01
2023-03-31,54.82,$4.00,13.71
2022-12-31,50.39,$6.24,8.08
2022-09-30,43.93,$7.71,5.7
2022-06-30,50.92,$8.92,5.71
2022-03-31,62.23,$9.17,6.79
2021-12-31,54.75,$8.38,6.53
2021-09-30,54.89,$7.71,7.12
2021-06-30,59.69,$5.44,10.97
2021-03-31,59.7,$2.62,22.79
2020-12-31,51.24,$1.62,31.63
2020-09-30,42.9,$-3.17,0.0
2020-06-30,36.6,$-2.68,0.0
2020-03-31,25.79,$-2.27,0.0
2019-12-31,47.44,$-1.85,0.0
