Pinnacle West Capital PE Ratio Historical Data,Pinnacle West Capital PE Ratio Historical Data,Pinnacle West Capital PE Ratio Historical Data,Pinnacle West Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,76.82,,16.74
2024-03-31,73.85,$4.59,16.09
2023-12-31,70.1,$4.41,15.89
2023-09-30,71.05,$4.20,16.92
2023-06-30,77.74,$3.58,21.71
2023-03-31,74.8,$4.09,18.29
2022-12-31,70.95,$4.27,16.62
2022-09-30,59.43,$4.72,12.59
2022-06-30,66.59,$4.84,13.76
2022-03-31,70.29,$5.30,13.26
2021-12-31,62.76,$5.47,11.47
2021-09-30,63.52,$5.06,12.55
2021-06-30,71.24,$5.13,13.89
2021-03-31,70.02,$4.93,14.2
2020-12-31,68.06,$4.88,13.95
2020-09-30,62.83,$5.62,11.18
2020-06-30,61.19,$5.32,11.5
2020-03-31,62.61,$4.89,12.8
2019-12-31,73.71,$4.78,15.42
2019-09-30,78.9,$4.44,17.77
2019-06-30,75.86,$4.47,16.97
2019-03-31,76.47,$4.67,16.37
2018-12-31,67.6,$4.54,14.89
2018-09-30,62.27,$4.50,13.84
2018-06-30,62.81,$4.16,15.1
2018-03-31,61.68,$4.17,14.79
2017-12-31,65.27,$4.35,15.01
2017-09-30,64.29,$4.63,13.89
2017-06-30,64.26,$4.52,14.22
2017-03-31,62.44,$4.11,15.19
2016-12-31,57.94,$3.94,14.7
2016-09-30,55.93,$3.84,14.57
2016-06-30,59.19,$3.79,15.62
2016-03-31,54.34,$3.81,14.26
2015-12-31,46.23,$3.91,11.82
2015-09-30,45.54,$3.59,12.68
2015-06-30,40.0,$3.49,11.46
2015-03-31,44.39,$3.58,12.4
2014-12-31,47.17,$3.58,13.18
2014-09-30,37.37,$3.75,9.96
2014-06-30,39.15,$3.59,10.91
2014-03-31,36.63,$3.58,10.23
2013-12-31,35.08,$3.66,9.58
2013-09-30,35.92,$3.64,9.87
2013-06-30,36.07,$3.81,9.47
2013-03-31,37.31,$3.74,9.98
2012-12-31,32.52,$3.44,9.45
2012-09-30,33.34,$3.35,9.95
2012-06-30,32.36,$3.46,9.35
2012-03-31,29.63,$3.14,9.44
2011-12-31,29.48,$3.08,9.57
2011-09-30,25.98,$3.04,8.55
2011-06-30,26.64,$2.86,9.32
2011-03-31,25.26,$3.14,8.05
2010-12-31,24.16,$3.22,7.5
2010-09-30,23.75,$2.85,8.33
2010-06-30,20.64,$2.55,8.1
2010-03-31,21.13,$2.16,9.78
2009-12-31,20.19,$0.67,30.13
