Exelon PE Ratio Historical Data,Exelon PE Ratio Historical Data,Exelon PE Ratio Historical Data,Exelon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,36.69,,15.81
2024-03-31,37.19,$2.32,16.03
2023-12-31,35.17,$2.33,15.09
2023-09-30,36.68,$2.14,17.14
2023-06-30,39.19,$2.12,18.49
2023-03-31,39.96,$2.25,17.76
2022-12-31,40.88,$2.19,18.67
2022-09-30,35.11,$2.16,16.25
2022-06-30,42.17,$2.71,15.56
2022-03-31,44.0,$2.65,16.6
2021-12-31,37.73,$1.74,21.68
2021-09-30,31.36,$1.71,18.34
2021-06-30,28.51,$0.99,28.8
2021-03-31,27.91,$1.11,25.14
2020-12-31,26.68,$2.01,13.27
2020-09-30,22.4,$2.43,9.22
2020-06-30,22.5,$2.71,8.3
2020-03-31,22.59,$2.68,8.43
2019-12-31,27.76,$3.01,9.22
2019-09-30,29.18,$2.38,12.26
2019-06-30,28.72,$2.35,12.22
2019-03-31,29.81,$2.41,12.37
2018-12-31,26.62,$2.08,12.8
2018-09-30,25.58,$3.86,6.63
2018-06-30,24.76,$3.95,6.27
2018-03-31,22.48,$3.48,6.46
2017-12-31,22.5,$3.95,5.7
2017-09-30,21.34,$2.23,9.57
2017-06-30,20.26,$1.91,10.61
2017-03-31,20.01,$2.11,9.48
2016-12-31,19.55,$1.23,15.9
2016-09-30,18.15,$1.34,13.55
2016-06-30,19.65,$1.50,13.1
2016-03-31,19.2,$1.95,9.85
2015-12-31,14.72,$2.56,5.75
2015-09-30,15.58,$2.25,6.92
2015-06-30,16.33,$2.71,6.02
2015-03-31,17.3,$2.57,6.73
2014-12-31,18.92,$1.87,10.12
2014-09-30,17.24,$2.43,7.1
2014-06-30,18.27,$2.14,8.54
2014-03-31,16.66,$2.11,7.9
2013-12-31,13.45,$2.01,6.69
2013-09-30,14.4,$1.87,7.7
2013-06-30,14.85,$1.36,10.92
2013-03-31,16.44,$1.12,14.68
2012-12-31,13.94,$1.40,9.96
2012-09-30,16.39,$1.87,8.76
2012-06-30,17.09,$2.42,7.06
2012-03-31,17.64,$3.02,5.84
2011-12-31,19.19,$3.75,5.12
2011-09-30,18.63,$3.63,5.13
2011-06-30,18.5,$4.00,4.62
2011-03-31,17.59,$3.74,4.7
2010-12-31,17.54,$3.86,4.54
2010-09-30,17.7,$3.95,4.48
2010-06-30,15.59,$3.82,4.08
2010-03-31,17.77,$4.14,4.29
2009-12-31,19.58,$4.09,4.79
