Federal Realty Investment Trust PE Ratio Historical Data,Federal Realty Investment Trust PE Ratio Historical Data,Federal Realty Investment Trust PE Ratio Historical Data,Federal Realty Investment Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,98.06,,34.9
2024-03-31,102.12,$2.81,36.34
2023-12-31,103.05,$2.80,36.8
2023-09-30,90.63,$3.44,26.35
2023-06-30,96.77,$4.66,20.77
2023-03-31,98.83,$4.69,21.07
2022-12-31,101.04,$4.67,21.64
2022-09-30,90.12,$4.71,19.13
2022-06-30,94.64,$3.46,27.35
2022-03-31,119.33,$3.28,36.38
2021-12-31,132.04,$3.25,40.63
2021-09-30,113.4,$3.03,37.43
2021-06-30,111.59,$1.98,56.36
2021-03-31,95.77,$1.52,63.01
2020-12-31,79.58,$1.62,49.13
2020-09-30,67.82,$2.32,29.23
2020-06-30,77.57,$3.57,21.73
2020-03-31,67.09,$4.51,14.87
2019-12-31,114.61,$4.59,24.97
2019-09-30,120.23,$3.38,35.57
2019-06-30,112.83,$3.36,33.58
2019-03-31,119.88,$3.15,38.06
2018-12-31,101.88,$3.18,32.04
2018-09-30,109.15,$3.14,34.76
2018-06-30,108.36,$3.79,28.59
2018-03-31,98.62,$4.00,24.66
2017-12-31,111.86,$3.97,28.18
2017-09-30,103.83,$4.10,25.32
2017-06-30,104.81,$3.45,30.38
2017-03-31,109.83,$3.18,34.54
2016-12-31,116.02,$3.50,33.15
2016-09-30,124.8,$3.67,34.01
2016-06-30,133.37,$3.60,37.05
2016-03-31,124.97,$3.45,36.22
2015-12-31,116.3,$3.02,38.51
2015-09-30,107.93,$2.56,42.16
2015-06-30,100.61,$2.50,40.25
2015-03-31,114.89,$2.51,45.77
2014-12-31,103.55,$2.41,42.97
2014-09-30,91.33,$2.32,39.37
2014-06-30,92.55,$2.57,36.01
2014-03-31,87.24,$2.50,34.89
2013-12-31,76.57,$2.46,31.13
2013-09-30,76.02,$2.62,29.01
2013-06-30,77.11,$2.28,33.82
2013-03-31,79.78,$2.22,35.94
2012-12-31,76.28,$2.36,32.32
2012-09-30,76.68,$2.26,33.93
2012-06-30,75.28,$2.40,31.37
2012-03-31,69.53,$2.44,28.49
2011-12-31,64.72,$2.27,28.51
2011-09-30,58.33,$2.32,25.14
2011-06-30,59.81,$2.06,29.03
2011-03-31,56.83,$2.01,28.27
2010-12-31,53.85,$1.98,27.2
2010-09-30,55.95,$1.97,28.4
2010-06-30,47.75,$1.94,24.61
2010-03-31,49.03,$1.92,25.54
2009-12-31,45.19,$1.62,27.89
