ResMed PE Ratio Historical Data,ResMed PE Ratio Historical Data,ResMed PE Ratio Historical Data,ResMed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,213.26,,32.76
2024-03-31,197.58,$6.51,30.35
2023-12-31,171.19,$6.05,28.3
2023-09-30,146.69,$6.16,23.81
2023-06-30,216.15,$6.10,35.43
2023-03-31,216.23,$5.87,36.84
2022-12-31,205.1,$5.51,37.22
2022-09-30,214.67,$5.35,40.13
2022-06-30,205.77,$5.31,38.75
2022-03-31,237.52,$5.31,44.73
2021-12-31,254.68,$3.55,71.74
2021-09-30,257.27,$3.41,75.45
2021-06-30,240.29,$3.24,74.16
2021-03-31,188.73,$3.13,60.3
2020-12-31,206.37,$4.79,43.08
2020-09-30,166.13,$4.66,35.65
2020-06-30,185.67,$4.27,43.48
2020-03-31,142.1,$3.53,40.25
2019-12-31,149.17,$3.14,47.51
2019-09-30,129.7,$2.90,44.72
2019-06-30,117.14,$2.80,41.84
2019-03-31,99.81,$3.08,32.4
2018-12-31,108.89,$3.11,35.01
2018-09-30,109.92,$2.32,47.38
2018-06-30,98.37,$2.19,44.92
2018-03-31,93.18,$2.14,43.54
2017-12-31,79.84,$2.00,39.92
2017-09-30,72.25,$2.47,29.25
2017-06-30,72.75,$2.41,30.19
2017-03-31,66.91,$2.29,29.22
2016-12-31,57.41,$2.30,24.96
2016-09-30,59.61,$2.40,24.84
2016-06-30,57.89,$2.43,23.82
2016-03-31,52.66,$2.45,21.5
2015-12-31,48.65,$2.46,19.78
2015-09-30,45.93,$2.46,18.67
2015-06-30,50.54,$2.47,20.46
2015-03-31,64.03,$2.47,25.92
2014-12-31,49.79,$2.46,20.24
2014-09-30,43.53,$2.42,17.99
2014-06-30,44.49,$2.40,18.54
2014-03-31,39.08,$2.29,17.06
2013-12-31,40.94,$2.24,18.28
2013-09-30,45.71,$2.17,21.06
2013-06-30,38.86,$2.10,18.5
2013-03-31,39.78,$2.13,18.68
2012-12-31,35.53,$1.99,17.86
2012-09-30,34.44,$1.88,18.32
2012-06-30,26.44,$1.72,15.37
2012-03-31,26.19,$1.56,16.79
2011-12-31,21.52,$1.46,14.74
2011-09-30,24.39,$1.41,17.3
2011-06-30,26.22,$1.44,18.21
2011-03-31,25.42,$1.41,18.03
2010-12-31,29.35,$1.39,21.19
2010-09-30,27.8,$1.32,21.14
2010-06-30,25.76,$1.23,20.95
2010-03-31,26.97,$1.19,22.76
2009-12-31,22.14,$1.13,19.68
