Stryker PE Ratio Historical Data,Stryker PE Ratio Historical Data,Stryker PE Ratio Historical Data,Stryker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,335.54,,40.67
2023-12-31,298.79,$8.25,36.22
2023-09-30,271.93,$6.74,40.35
2023-06-30,302.77,$6.99,43.31
2023-03-31,282.6,$7.20,39.25
2022-12-31,241.38,$7.38,32.71
2024-03-31,357.87,$6.75,53.02
2022-09-30,199.36,$6.43,31.0
2022-06-30,195.14,$5.43,35.94
2022-03-31,261.35,$5.26,49.69
2021-12-31,260.75,$5.21,50.05
2021-09-30,256.48,$4.97,51.61
2021-06-30,252.01,$5.46,46.16
2021-03-31,235.77,$3.69,63.89
2020-12-31,236.57,$4.20,56.33
2020-09-30,200.64,$4.61,43.52
2020-06-30,173.02,$4.21,41.1
2020-03-31,159.35,$5.69,28.01
2019-12-31,200.23,$5.48,36.54
2019-09-30,205.73,$9.02,22.81
2019-06-30,195.06,$9.34,20.88
2019-03-31,186.93,$9.27,20.17
2018-12-31,147.95,$9.34,15.84
2018-09-30,167.15,$3.24,51.59
2018-06-30,158.43,$2.83,55.98
2018-03-31,150.56,$2.67,56.39
2017-12-31,144.44,$2.85,50.68
2017-09-30,132.08,$4.45,29.68
2017-06-30,128.68,$4.31,29.86
2016-12-31,110.4,$4.35,25.38
2016-09-30,106.89,$4.39,24.35
2016-06-30,109.67,$4.62,23.74
2016-03-31,97.87,$4.41,22.19
2015-12-31,84.48,$4.37,19.33
2017-03-31,121.7,$3.57,34.09
2015-09-30,85.19,$3.07,27.75
2015-06-30,86.2,$2.44,35.33
2015-03-31,82.92,$1.97,42.09
2014-12-31,84.47,$1.57,53.8
2014-09-30,72.05,$1.91,37.72
2014-06-30,74.95,$2.02,37.11
2014-03-31,72.16,$2.02,35.72
2013-12-31,66.3,$2.63,25.21
2013-09-30,59.4,$2.33,25.49
2013-06-30,56.62,$2.98,19.0
2013-03-31,56.88,$3.27,17.39
2012-12-31,47.6,$3.39,14.04
2012-09-30,48.1,$3.73,12.89
2012-06-30,47.43,$3.65,13.0
2012-03-31,47.57,$3.59,13.25
2011-12-31,42.46,$3.46,12.27
2011-09-30,40.09,$3.15,12.73
2011-06-30,49.73,$3.16,15.74
2011-03-31,51.37,$3.17,16.2
2010-12-31,45.23,$3.19,14.18
2010-09-30,42.02,$3.21,13.09
2010-06-30,41.9,$2.93,14.3
2010-03-31,47.76,$2.86,16.7
2009-12-31,41.93,$2.77,15.14
