Snap-On PE Ratio Historical Data,Snap-On PE Ratio Historical Data,Snap-On PE Ratio Historical Data,Snap-On PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,270.89,,14.21
2024-03-31,294.26,$19.06,15.44
2023-12-31,284.97,$18.75,15.2
2023-09-30,249.95,$18.42,13.57
2023-06-30,280.71,$18.05,15.55
2023-03-31,239.0,$17.43,13.71
2022-12-31,219.73,$16.83,13.06
2022-09-30,192.31,$16.51,11.65
2022-06-30,187.04,$15.94,11.73
2022-03-31,193.78,$15.43,12.56
2021-12-31,201.75,$14.93,13.51
2021-09-30,194.45,$14.65,13.27
2021-06-30,206.74,$14.36,14.4
2021-03-31,212.46,$12.45,17.06
2020-12-31,156.59,$11.44,13.69
2020-09-30,133.66,$10.70,12.49
2020-06-30,124.93,$10.38,12.04
2020-03-31,97.37,$11.75,8.29
2019-12-31,150.55,$12.42,12.12
2019-09-30,138.2,$12.43,11.12
2019-06-30,145.31,$12.32,11.79
2019-03-31,136.48,$12.22,11.17
2018-12-31,125.94,$11.88,10.6
2018-09-30,158.24,$11.03,14.35
2018-06-30,137.87,$10.47,13.17
2018-03-31,125.87,$9.95,12.65
2017-12-31,147.91,$9.52,15.54
2017-09-30,125.8,$9.75,12.9
2017-06-30,132.76,$9.68,13.72
2017-03-31,141.12,$9.44,14.95
2016-12-31,142.7,$9.21,15.49
2016-09-30,126.07,$8.96,14.07
2016-06-30,130.42,$8.72,14.96
2016-03-31,129.25,$8.39,15.4
2015-12-31,140.54,$8.10,17.35
2015-09-30,123.3,$7.85,15.71
2015-06-30,129.66,$7.63,16.99
2015-03-31,119.33,$7.40,16.13
2014-12-31,110.55,$7.15,15.46
2014-09-30,97.51,$6.78,14.38
2014-06-30,95.12,$6.45,14.75
2014-03-31,90.73,$6.15,14.75
2013-12-31,87.21,$5.93,14.71
2013-09-30,78.9,$5.76,13.7
2013-06-30,70.59,$5.59,12.63
2013-03-31,65.04,$5.39,12.07
2012-12-31,61.82,$5.20,11.89
2012-09-30,55.97,$5.04,11.1
2012-06-30,48.24,$4.94,9.77
2012-03-31,46.97,$4.97,9.45
2011-12-31,38.78,$4.72,8.22
2011-09-30,33.81,$4.44,7.61
2011-06-30,47.25,$4.08,11.58
2011-03-31,45.18,$3.53,12.8
2010-12-31,42.33,$3.20,13.23
2010-09-30,34.58,$2.84,12.18
2010-06-30,30.2,$2.48,12.18
2010-03-31,31.78,$2.35,13.52
2009-12-31,30.77,$2.32,13.26
