Southwest Airlines PE Ratio Historical Data,Southwest Airlines PE Ratio Historical Data,Southwest Airlines PE Ratio Historical Data,Southwest Airlines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,26.84,,42.6
2024-03-31,29.19,$0.63,46.33
2023-12-31,28.73,$0.75,38.31
2023-09-30,26.76,$0.75,35.68
2023-06-30,35.59,$0.88,40.45
2023-03-31,31.82,$1.00,31.82
2022-12-31,32.58,$0.80,40.73
2022-09-30,29.84,$1.28,23.32
2022-06-30,34.95,$1.57,22.26
2022-03-31,44.32,$0.94,47.15
2021-12-31,41.46,$1.60,25.91
2021-09-30,49.77,$-0.05,0.0
2021-06-30,51.37,$-2.74,0.0
2021-03-31,59.09,$-4.94,0.0
2020-12-31,45.1,$-5.31,0.0
2020-09-30,36.29,$-2.79,0.0
2020-06-30,33.08,$0.40,82.69
2020-03-31,34.46,$3.40,10.14
2019-12-31,52.03,$4.28,12.16
2019-09-30,51.89,$4.47,11.61
2019-06-30,48.61,$4.32,11.25
2019-03-31,49.51,$4.22,11.73
2018-12-31,44.33,$4.31,10.29
2018-09-30,59.56,$6.32,9.42
2018-06-30,48.4,$6.08,7.96
2018-03-31,54.32,$6.04,8.99
2017-12-31,61.93,$5.82,10.64
2017-09-30,52.86,$3.48,15.19
2017-06-30,58.54,$3.26,17.96
2017-03-31,50.54,$3.31,15.27
2016-12-31,46.78,$3.53,13.25
2016-09-30,36.42,$3.51,10.38
2016-06-30,36.62,$3.77,9.71
2016-03-31,41.74,$3.39,12.31
2015-12-31,40.05,$3.26,12.29
2015-09-30,35.32,$2.72,12.99
2015-06-30,30.67,$2.32,13.22
2015-03-31,40.98,$2.09,19.61
2014-12-31,39.09,$1.65,23.69
2014-09-30,31.15,$1.67,18.65
2014-06-30,24.73,$1.56,15.85
2014-03-31,21.69,$1.20,18.07
2013-12-31,17.28,$1.09,15.85
2013-09-30,13.32,$0.81,16.45
2013-06-30,11.76,$0.74,15.89
2012-12-31,9.31,$0.56,16.62
2012-09-30,7.96,$0.65,12.25
2012-06-30,8.36,$0.71,11.78
2012-03-31,7.47,$0.23,32.46
2011-12-31,7.75,$0.31,25.0
2013-03-31,12.26,$0.12,102.19
2011-09-30,7.28,$0.22,33.08
2011-06-30,10.33,$0.67,15.42
2011-03-31,11.42,$0.61,18.72
2010-12-31,11.73,$0.61,19.23
2010-09-30,11.81,$0.59,20.02
2010-06-30,10.03,$0.30,33.45
2010-03-31,11.93,$0.22,54.25
2009-12-31,10.32,$0.09,114.61
