Huntington Bancshares PE Ratio Historical Data,Huntington Bancshares PE Ratio Historical Data,Huntington Bancshares PE Ratio Historical Data,Huntington Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,13.74,,11.08
2023-12-31,12.57,$1.24,10.14
2023-09-30,10.16,$1.51,6.73
2023-06-30,10.38,$1.42,7.31
2023-03-31,10.63,$1.46,7.28
2022-12-31,13.18,$1.42,9.28
2024-03-31,13.95,$1.29,10.81
2022-09-30,12.19,$1.29,9.45
2022-06-30,11.0,$1.12,9.82
2022-03-31,13.19,$1.17,11.28
2021-12-31,13.77,$1.36,10.13
2021-09-30,13.67,$1.37,9.98
2021-06-30,12.5,$1.42,8.8
2021-03-31,13.62,$1.15,11.85
2020-12-31,10.84,$0.70,15.49
2020-09-30,7.78,$0.71,10.96
2020-06-30,7.55,$0.78,9.68
2020-03-31,6.76,$0.98,6.9
2019-12-31,12.2,$1.27,9.61
2019-09-30,11.43,$1.28,8.93
2019-06-30,10.96,$1.27,8.63
2019-03-31,9.95,$1.24,8.03
2018-12-31,9.26,$1.20,7.72
2018-09-30,11.59,$1.28,9.06
2018-06-30,11.37,$1.18,9.63
2018-03-31,11.55,$1.11,10.4
2017-12-31,11.06,$1.00,11.06
2017-09-30,10.52,$0.81,12.99
2017-06-30,10.13,$0.69,14.68
2017-03-31,9.97,$0.65,15.34
2016-12-31,9.79,$0.69,14.18
2016-09-30,7.25,$0.69,10.51
2016-06-30,6.53,$0.81,8.06
2015-12-31,7.96,$0.81,9.83
2015-09-30,7.58,$0.79,9.6
2015-06-30,8.05,$0.79,10.19
2015-03-31,7.82,$0.75,10.43
2014-12-31,7.41,$0.73,10.14
2014-09-30,6.81,$0.72,9.46
2014-06-30,6.64,$0.74,8.98
2014-03-31,6.91,$0.72,9.59
2013-12-31,6.65,$0.72,9.24
2013-09-30,5.66,$0.73,7.76
2013-06-30,5.36,$0.72,7.45
2013-03-31,4.99,$0.72,6.93
2012-12-31,4.3,$0.72,5.98
2012-09-30,4.61,$0.67,6.89
2012-06-30,4.26,$0.64,6.65
2012-03-31,4.26,$0.63,6.76
2011-12-31,3.61,$0.60,6.01
2011-09-30,3.13,$0.51,6.14
2011-06-30,4.24,$0.45,9.43
2011-03-31,4.29,$0.32,13.4
2010-12-31,4.43,$0.19,23.32
2010-09-30,3.66,$-0.42,0.0
2010-06-30,3.56,$-0.32,0.0
2010-03-31,3.46,$-0.68,0.0
2009-12-31,2.34,$-1.09,0.0
2016-03-31,6.92,$-7.32,0.0
