Expeditors Of Washington PE Ratio Historical Data,Expeditors Of Washington PE Ratio Historical Data,Expeditors Of Washington PE Ratio Historical Data,Expeditors Of Washington PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,117.96,,24.99
2024-03-31,121.57,$4.72,25.76
2023-12-31,127.2,$5.00,25.44
2023-09-30,113.98,$5.29,21.55
2023-06-30,120.44,$6.67,18.06
2023-03-31,108.81,$7.64,14.24
2022-12-31,102.69,$8.24,12.46
2022-09-30,86.76,$9.52,9.11
2022-06-30,95.75,$9.07,10.56
2022-03-31,100.73,$8.64,11.66
2021-12-31,131.13,$8.26,15.87
2021-09-30,115.77,$6.76,17.13
2021-06-30,123.03,$5.79,21.25
2021-03-31,104.17,$5.04,20.67
2020-12-31,92.0,$4.08,22.55
2020-09-30,87.06,$3.73,23.34
2020-06-30,73.13,$3.53,20.72
2020-03-31,63.73,$3.32,19.2
2019-12-31,74.53,$3.41,21.86
2019-09-30,70.49,$3.62,19.47
2019-06-30,71.98,$3.62,19.88
2019-03-31,71.51,$3.53,20.26
2018-12-31,64.15,$3.49,18.38
2018-09-30,68.87,$3.39,20.31
2018-06-30,68.46,$3.13,21.87
2018-03-31,58.93,$2.94,20.04
2017-12-31,60.22,$2.70,22.31
2017-09-30,55.37,$2.39,23.17
2017-06-30,52.24,$2.32,22.52
2017-03-31,51.84,$2.35,22.06
2016-12-31,48.6,$2.36,20.59
2016-09-30,46.92,$2.36,19.88
2016-06-30,44.67,$2.39,18.69
2016-03-31,44.09,$2.37,18.6
2015-12-31,40.74,$2.39,17.05
2015-09-30,42.2,$2.29,18.43
2015-06-30,41.35,$2.20,18.8
2015-03-31,42.87,$2.05,20.91
2014-12-31,39.7,$1.92,20.68
2014-09-30,35.86,$1.82,19.7
2014-06-30,39.02,$1.74,22.43
2014-03-31,34.77,$1.73,20.1
2013-12-31,38.83,$1.70,22.84
2013-09-30,38.4,$1.69,22.72
2013-06-30,33.15,$1.66,19.97
2013-03-31,30.9,$1.60,19.31
2012-12-31,34.2,$1.57,21.79
2012-09-30,31.2,$1.60,19.5
2012-06-30,33.26,$1.68,19.8
2012-03-31,39.63,$1.73,22.91
2011-12-31,34.9,$1.79,19.5
2011-09-30,34.34,$1.81,18.97
2011-06-30,43.35,$1.75,24.77
2011-03-31,42.27,$1.73,24.43
2010-12-31,46.02,$1.59,28.94
2010-09-30,38.82,$1.46,26.59
2010-06-30,28.98,$1.29,22.46
2010-03-31,30.84,$1.12,27.54
2009-12-31,29.04,$1.11,26.17
