Valero Energy PE Ratio Historical Data,Valero Energy PE Ratio Historical Data,Valero Energy PE Ratio Historical Data,Valero Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,162.42,,8.04
2024-03-31,170.69,$20.19,8.45
2023-12-31,129.01,$24.73,5.22
2023-09-30,139.46,$29.33,4.75
2023-06-30,114.51,$29.03,3.94
2023-03-31,135.06,$35.20,3.84
2022-12-31,121.85,$29.12,4.18
2022-09-30,101.89,$23.43,4.35
2022-06-30,100.43,$17.37,5.78
2022-03-31,95.18,$6.19,15.38
2021-12-31,69.62,$2.25,30.94
2021-09-30,64.55,$-1.09,0.0
2021-06-30,70.34,$-3.36,0.0
2021-03-31,63.74,$-0.68,0.0
2020-12-31,49.61,$3.63,13.67
2020-09-30,37.32,$5.99,6.23
2020-06-30,49.76,$8.60,5.79
2019-12-31,77.04,$5.87,13.12
2019-09-30,69.48,$5.53,12.56
2019-06-30,68.96,$-0.49,0.0
2019-03-31,67.6,$0.05,1352.02
2018-12-31,59.1,$1.67,35.39
2020-03-31,37.75,$0.52,72.59
2018-09-30,88.79,$10.48,8.47
2018-06-30,85.91,$10.38,8.28
2018-03-31,71.41,$9.10,7.85
2017-12-31,70.12,$8.82,7.95
2017-09-30,58.2,$4.73,12.3
2017-03-31,49.11,$4.55,10.79
2016-12-31,50.09,$4.92,10.18
2016-09-30,38.5,$4.73,8.14
2016-06-30,36.62,$4.63,7.91
2016-03-31,45.56,$5.69,8.01
2015-12-31,49.7,$7.30,6.81
2017-06-30,50.51,$8.55,5.91
2015-09-30,41.95,$9.54,4.4
2015-06-30,43.43,$8.75,4.96
2015-03-31,43.84,$7.19,6.1
2014-12-31,33.86,$6.86,4.94
2014-09-30,31.48,$7.02,4.48
2014-06-30,33.91,$5.59,6.07
2014-03-31,35.77,$5.34,6.7
2013-12-31,33.78,$4.98,6.78
2013-09-30,22.77,$4.42,5.15
2013-06-30,23.04,$5.06,4.55
2013-03-31,27.51,$5.71,4.82
2012-12-31,20.55,$3.75,5.48
2012-09-30,18.97,$2.01,9.44
2012-06-30,14.37,$2.91,4.94
2012-03-31,15.23,$2.71,5.62
2011-12-31,12.36,$3.66,3.38
2011-09-30,10.38,$2.81,3.69
2011-06-30,14.89,$1.21,12.31
2011-03-31,17.33,$0.94,18.44
2010-12-31,13.42,$0.57,23.54
2010-09-30,10.14,$-1.16,0.0
2010-06-30,10.38,$-2.79,0.0
2010-03-31,11.34,$-4.30,0.0
2009-12-31,9.61,$-3.51,0.0
