Invitation Home PE Ratio Historical Data,Invitation Home PE Ratio Historical Data,Invitation Home PE Ratio Historical Data,Invitation Home PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,34.48,,39.63
2024-03-31,35.61,$0.87,40.93
2023-12-31,33.84,$0.84,40.28
2023-09-30,30.93,$0.79,39.15
2023-06-30,33.33,$0.71,46.94
2023-03-31,30.03,$0.67,44.82
2022-12-31,28.28,$0.62,45.61
2022-09-30,31.98,$0.58,55.13
2022-06-30,33.5,$0.57,58.77
2022-03-31,37.6,$0.50,75.2
2021-12-31,42.2,$0.47,89.8
2021-09-30,35.53,$0.41,86.66
2021-06-30,34.42,$0.37,93.02
2020-12-31,27.13,$0.35,77.51
2020-09-30,25.43,$0.33,77.06
2020-06-30,24.88,$0.37,67.26
2020-03-31,19.2,$0.35,54.85
2019-12-31,26.8,$0.33,81.2
2021-03-31,29.38,$0.27,108.83
2019-09-30,26.36,$0.22,119.8
2019-06-30,23.68,$0.16,148.01
2019-03-31,21.44,$0.06,357.38
2018-12-31,17.6,$-0.01,0.0
2018-09-30,19.98,$-0.17,0.0
2018-06-30,20.01,$-0.24,0.0
2018-03-31,19.72,$-0.19,0.0
2017-12-31,20.25,$-0.30,0.0
