Super Micro Computer PE Ratio Historical Data,Super Micro Computer PE Ratio Historical Data,Super Micro Computer PE Ratio Historical Data,Super Micro Computer PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,883.88,,49.54
2024-03-31,1010.03,$17.84,56.62
2023-12-31,284.26,$12.81,22.19
2023-09-30,274.22,$10.85,25.27
2023-06-30,249.25,$11.45,21.77
2023-03-31,106.55,$10.62,10.03
2022-12-31,82.1,$10.52,7.8
2022-09-30,55.07,$8.16,6.75
2022-06-30,40.35,$5.29,7.63
2022-03-31,38.07,$3.43,11.1
2021-12-31,43.95,$2.35,18.7
2021-09-30,36.57,$2.09,17.5
2021-06-30,35.18,$2.10,16.75
2021-03-31,39.06,$1.70,22.98
2020-12-31,31.66,$1.64,19.3
2020-09-30,26.4,$1.58,16.71
2020-06-30,28.39,$1.09,26.05
2020-03-31,21.28,$0.75,28.37
2019-12-31,15.65,$0.46,34.02
2019-09-30,15.65,0,0.0
2019-06-30,15.65,0,0.0
2018-09-30,15.65,0,0.0
2018-06-30,23.65,0,0.0
2018-03-31,17.0,$0.33,51.52
2017-12-31,20.93,$0.65,32.19
2017-09-30,22.1,$1.08,20.46
2017-06-30,24.65,$1.34,18.4
2017-03-31,25.35,$1.14,22.24
2016-12-31,28.05,$1.14,24.61
2016-09-30,23.37,$1.38,16.93
2016-06-30,24.85,$1.52,16.35
2016-03-31,34.08,$1.90,17.94
2015-12-31,24.51,$2.02,12.13
2015-09-30,27.26,$1.96,13.91
2015-06-30,29.58,$1.98,14.94
2015-03-31,33.21,$1.81,18.35
2014-12-31,34.88,$1.37,25.46
2014-09-30,29.42,$1.11,26.5
2014-06-30,25.27,$0.99,25.53
2019-03-31,15.65,$0.82,19.09
2014-03-31,17.37,$1.01,17.2
2013-12-31,17.16,$0.82,20.93
2013-09-30,13.54,$0.52,26.04
2013-06-30,10.64,$0.46,23.13
2013-03-31,11.29,$0.29,38.93
2018-12-31,15.65,$0.25,62.6
2012-12-31,10.2,$0.41,24.88
2012-09-30,12.03,$0.50,24.06
2012-06-30,15.86,$0.67,23.67
2012-03-31,17.46,$0.79,22.1
2011-12-31,15.68,$0.88,17.82
2011-09-30,12.53,$0.96,13.05
2011-06-30,16.09,$0.94,17.12
2011-03-31,16.04,$0.88,18.23
2010-12-31,11.54,$0.81,14.25
2010-09-30,10.39,$0.72,14.43
2010-06-30,13.5,$0.65,20.77
2010-03-31,17.28,$0.53,32.6
2009-12-31,11.12,$0.38,29.26
