Equinix PE Ratio Historical Data,Equinix PE Ratio Historical Data,Equinix PE Ratio Historical Data,Equinix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,766.12,,76.84
2024-03-31,820.92,$9.97,82.34
2023-12-31,797.19,$10.31,77.32
2023-09-30,714.99,$9.30,76.88
2023-06-30,768.3,$8.67,88.62
2023-03-31,703.21,$8.83,79.64
2022-12-31,635.73,$7.68,82.78
2022-09-30,549.49,$7.65,71.83
2022-06-30,631.92,$7.03,89.89
2022-03-31,709.89,$5.42,130.98
2021-12-31,806.18,$5.54,145.52
2021-09-30,750.37,$4.75,157.97
2021-06-30,759.58,$3.81,199.37
2021-03-31,640.6,$4.57,140.17
2020-12-31,670.28,$4.21,159.21
2020-09-30,710.89,$5.10,139.39
2020-06-30,654.59,$5.77,113.45
2020-03-31,579.77,$5.94,97.6
2019-12-31,539.56,$6.00,89.93
2019-09-30,530.87,$5.90,89.98
2019-06-30,462.06,$6.04,76.5
2019-03-31,413.11,$5.14,80.37
2018-12-31,319.56,$4.52,70.7
2018-09-30,390.05,$4.18,93.31
2018-03-31,372.57,$3.21,116.06
2017-12-31,401.5,$2.99,134.28
2017-09-30,393.74,$3.03,129.95
2017-06-30,376.94,$2.86,131.8
2017-03-31,350.04,$3.00,116.68
2016-12-31,310.81,$3.07,101.24
2018-06-30,385.31,$1.75,220.18
2016-09-30,311.63,$1.08,288.54
2016-06-30,333.8,$1.07,311.97
2016-03-31,283.28,$0.61,464.39
2015-12-31,257.51,$-5.35,0.0
2015-09-30,222.53,$-4.74,0.0
2015-03-31,187.1,$-5.23,0.0
2014-12-31,180.86,$-4.60,0.0
2014-09-30,169.49,$2.70,62.78
2014-06-30,167.59,$2.94,57.0
2014-03-31,147.45,$3.44,42.86
2013-12-31,141.55,$2.05,69.05
2015-06-30,205.38,$1.88,109.25
2013-09-30,146.5,$1.73,84.68
2013-06-30,147.35,$1.59,92.67
2013-03-31,172.55,$2.90,59.5
2012-12-31,164.48,$2.90,56.72
2012-09-30,164.36,$2.37,69.35
2012-06-30,140.11,$1.99,70.41
2012-03-31,125.6,$1.90,66.1
2011-12-31,80.89,$1.72,47.03
2011-09-30,70.86,$1.66,42.69
2011-06-30,80.58,$1.70,47.4
2011-03-31,72.67,$1.01,71.95
2010-12-31,64.82,$0.83,78.1
2010-09-30,81.64,$0.98,83.31
2010-06-30,64.79,$1.21,53.54
2010-03-31,77.65,$1.70,45.67
2009-12-31,84.67,$1.75,48.39
