Qorvo PE Ratio Historical Data,Qorvo PE Ratio Historical Data,Qorvo PE Ratio Historical Data,Qorvo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,98.29,,0.0
2024-03-31,114.83,$-0.73,0.0
2023-12-31,112.61,$-2.15,0.0
2023-09-30,95.47,$-1.00,0.0
2023-06-30,102.03,$-0.17,0.0
2023-03-31,101.57,$0.92,110.4
2022-12-31,90.64,$4.26,21.28
2022-09-30,79.41,$6.37,12.47
2022-06-30,94.32,$7.39,12.76
2022-03-31,124.1,$9.25,13.42
2021-12-31,156.39,$9.90,15.8
2021-09-30,167.19,$9.69,17.25
2021-06-30,195.65,$8.03,24.36
2021-03-31,182.7,$6.35,28.77
2020-12-31,166.27,$4.18,39.78
2020-09-30,129.01,$3.80,33.95
2020-06-30,110.53,$3.32,33.29
2020-03-31,80.63,$2.82,28.59
2019-12-31,116.23,$2.89,40.22
2019-09-30,74.14,$2.08,35.64
2019-06-30,66.61,$1.63,40.87
2019-03-31,71.73,$1.06,67.67
2018-12-31,60.73,$0.46,132.02
2018-09-30,76.89,$-0.35,0.0
2018-06-30,80.17,$-0.33,0.0
2018-03-31,70.45,$-0.33,0.0
2017-12-31,66.6,$0.20,333.0
2017-09-30,70.68,$-0.16,0.0
2017-06-30,63.32,$-0.34,0.0
2017-03-31,68.56,$-0.14,0.0
2016-12-31,52.73,$-0.75,0.0
2016-09-30,55.74,$-0.21,0.0
2016-06-30,55.26,$-0.27,0.0
2016-03-31,50.41,$-0.22,0.0
2015-12-31,50.9,0,0.0
