Aflac PE Ratio Historical Data,Aflac PE Ratio Historical Data,Aflac PE Ratio Historical Data,Aflac PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,87.69,,9.68
2024-03-31,85.37,$9.06,9.42
2023-12-31,81.51,$7.75,10.52
2023-09-30,75.45,$7.59,9.94
2023-06-30,68.22,$7.48,9.12
2023-03-31,62.66,$6.93,9.04
2022-12-31,69.44,$6.57,10.57
2022-09-30,53.94,$7.84,6.88
2022-06-30,52.76,$6.63,7.96
2022-03-31,60.98,$6.09,10.01
2021-12-31,54.96,$6.38,8.61
2021-09-30,48.78,$6.16,7.92
2021-06-30,49.93,$8.28,6.03
2021-03-31,47.34,$7.78,6.08
2020-12-31,40.84,$6.69,6.1
2020-09-30,33.17,$6.40,5.18
2020-06-30,32.63,$4.00,8.16
2020-03-31,30.75,$3.97,7.75
2019-12-31,47.26,$4.42,10.69
2019-09-30,46.51,$4.05,11.48
2019-06-30,48.47,$4.10,11.82
2019-03-31,43.99,$3.92,11.22
2018-12-31,39.86,$5.67,7.04
2018-09-30,40.94,$5.88,6.97
2018-03-31,37.64,$5.68,6.63
2017-12-31,37.53,$5.51,6.82
2017-09-30,34.61,$3.45,10.03
2017-06-30,32.86,$3.62,9.08
2017-03-31,30.46,$3.49,8.73
2016-12-31,29.09,$3.42,8.52
2018-06-30,37.21,$3.37,11.06
2016-09-30,29.87,$3.15,9.48
2016-06-30,29.82,$3.05,9.79
2016-03-31,25.94,$3.05,8.52
2015-12-31,24.43,$2.93,8.34
2015-09-30,23.55,$2.86,8.23
2015-06-30,25.05,$2.98,8.41
2015-03-31,25.62,$3.21,7.98
2014-12-31,24.3,$3.26,7.47
2014-09-30,23.02,$3.20,7.2
2014-06-30,24.45,$3.17,7.73
2014-03-31,24.61,$3.23,7.63
2013-12-31,25.93,$3.38,7.68
2013-09-30,23.93,$3.27,7.32
2013-06-30,22.31,$3.60,6.2
2013-03-31,19.84,$3.17,6.27
2012-12-31,20.11,$3.06,6.58
2012-09-30,18.0,$3.02,5.96
2012-06-30,15.9,$2.74,5.81
2012-03-31,17.04,$2.52,6.76
2011-12-31,15.92,$2.10,7.58
2011-09-30,12.76,$1.98,6.46
2011-06-30,16.92,$1.91,8.86
2011-03-31,19.02,$2.23,8.55
2010-12-31,20.23,$2.48,8.16
2010-09-30,18.44,$2.29,8.07
2010-06-30,15.12,$1.94,7.8
2010-03-31,19.13,$1.66,11.52
2009-12-31,16.2,$1.60,10.15
