Capital One Financial PE Ratio Historical Data,Capital One Financial PE Ratio Historical Data,Capital One Financial PE Ratio Historical Data,Capital One Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,137.62,,11.52
2023-12-31,129.99,$11.95,10.88
2023-09-30,95.67,$13.31,7.19
2023-06-30,107.24,$13.06,8.21
2023-03-31,93.64,$14.50,6.46
2022-12-31,90.08,$17.81,5.06
2022-09-30,88.84,$20.19,4.4
2022-06-30,99.87,$22.77,4.39
2022-03-31,125.2,$25.43,4.92
2021-12-31,137.83,$25.16,5.48
2021-09-30,153.27,$24.81,6.18
2021-06-30,145.33,$15.82,9.19
2020-12-31,92.33,$5.10,18.1
2020-09-30,67.03,$2.00,33.52
2020-06-30,58.3,$3.97,14.68
2020-03-31,46.66,$8.87,5.26
2019-12-31,94.87,$15.21,6.24
2021-03-31,119.23,$15.82,7.54
2019-09-30,83.53,$11.27,7.41
2019-06-30,82.94,$11.57,7.17
2019-03-31,74.34,$12.04,6.17
2018-12-31,68.43,$11.80,5.8
2018-09-30,85.57,$7.15,11.97
2018-06-30,82.49,$6.30,13.09
2018-03-31,85.64,$4.53,18.91
2017-12-31,88.62,$3.45,25.69
2017-09-30,75.0,$7.07,10.61
2017-06-30,72.84,$6.83,10.67
2017-03-31,76.03,$6.58,11.55
2016-12-31,76.19,$6.88,11.07
2016-09-30,62.41,$7.01,8.9
2016-06-30,54.85,$7.09,7.74
2016-03-31,59.51,$6.90,8.62
2015-12-31,61.57,$7.06,8.72
2015-09-30,61.55,$7.21,8.54
2015-06-30,74.29,$7.09,10.48
2015-03-31,66.24,$7.63,8.68
2014-12-31,69.1,$8.76,7.89
2014-09-30,68.08,$8.99,7.57
2014-06-30,68.63,$8.58,8.0
2024-03-31,148.27,$8.40,17.65
2014-03-31,63.86,$7.14,8.94
2013-12-31,63.13,$6.97,9.06
2013-09-30,56.4,$6.93,8.14
2013-06-30,51.32,$7.08,7.25
2013-03-31,44.67,$5.37,8.32
2012-12-31,47.05,$6.30,7.47
2012-09-30,46.26,$5.77,8.02
2012-06-30,44.32,$5.53,8.01
2012-03-31,45.15,$7.34,6.15
2011-12-31,34.22,$6.83,5.01
2011-09-30,32.03,$7.47,4.29
2011-06-30,41.71,$7.46,5.59
2011-03-31,41.9,$6.82,6.14
2010-12-31,34.29,$5.44,6.3
2010-09-30,31.82,$4.86,6.55
2010-06-30,32.39,$2.45,13.22
2009-12-31,30.73,$0.67,45.87
2009-09-30,28.6,$1.24,23.07
