Discover Financial Services PE Ratio Historical Data,Discover Financial Services PE Ratio Historical Data,Discover Financial Services PE Ratio Historical Data,Discover Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,123.22,,14.05
2024-03-31,130.36,$8.77,14.86
2023-12-31,111.13,$11.25,9.88
2023-09-30,84.96,$13.48,6.3
2023-06-30,113.69,$14.43,7.88
2023-03-31,95.5,$14.85,6.43
2022-12-31,94.01,$15.49,6.07
2022-09-30,86.89,$15.36,5.66
2022-06-30,89.87,$15.36,5.85
2022-03-31,104.12,$16.95,6.14
2021-12-31,108.76,$17.77,6.12
2021-09-30,115.14,$16.72,6.89
2021-06-30,110.44,$15.63,7.07
2021-03-31,88.35,$8.88,9.95
2020-12-31,83.8,$3.59,23.34
2020-09-30,53.18,$3.25,16.36
2020-06-30,45.7,$3.16,14.46
2020-03-31,32.2,$6.68,4.82
2019-12-31,76.13,$9.08,8.38
2019-09-30,72.39,$8.86,8.17
2019-06-30,68.89,$8.55,8.06
2019-03-31,62.85,$8.14,7.72
2018-12-31,51.8,$7.81,6.63
2018-09-30,66.76,$6.77,9.86
2018-06-30,61.17,$6.31,9.69
2018-03-31,62.21,$5.80,10.73
2017-12-31,66.23,$5.41,12.24
2017-09-30,55.23,$5.82,9.49
2017-06-30,52.95,$5.79,9.15
2017-03-31,57.95,$5.86,9.89
2016-12-31,60.82,$5.78,10.52
2016-09-30,47.45,$5.52,8.6
2016-06-30,44.73,$5.34,8.38
2016-03-31,42.28,$5.15,8.21
2015-12-31,44.25,$4.67,9.48
2015-09-30,42.69,$4.90,8.71
2015-03-31,45.82,$4.87,9.41
2014-12-31,53.03,$4.90,10.82
2014-09-30,51.94,$5.26,9.88
2014-06-30,49.8,$5.22,9.54
2014-03-31,46.55,$5.07,9.18
2013-12-31,44.59,$4.96,8.99
2015-06-30,47.08,$5.06,9.3
2013-09-30,40.12,$3.73,10.76
2013-06-30,37.67,$2.53,14.89
2013-03-31,35.3,$2.54,13.9
2012-12-31,30.35,$1.21,25.08
2012-11-30,32.64,$1.21,26.98
2012-09-30,31.09,$2.39,13.01
2012-08-31,30.31,$1.18,25.68
2012-05-31,25.84,$1.18,21.89
2012-03-31,25.94,$1.18,21.98
2012-02-29,23.35,0,0.0
2011-11-30,18.45,0,0.0
2011-08-31,19.44,0,0.0
2011-05-31,18.38,0,0.0
2011-02-28,16.73,0,0.0
2010-08-31,11.13,0,0.0
2010-05-31,10.31,0,0.0
2010-02-28,10.45,0,0.0
2009-11-30,11.82,0,0.0
2009-08-31,10.5,$0.99,10.6
2009-05-31,7.28,$0.99,7.36
