Enphase Energy PE Ratio Historical Data,Enphase Energy PE Ratio Historical Data,Enphase Energy PE Ratio Historical Data,Enphase Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,125.18,,65.2
2024-03-31,120.98,$1.92,63.01
2023-12-31,132.14,$3.06,43.18
2023-09-30,120.15,$3.97,30.26
2023-06-30,167.48,$3.97,42.19
2023-03-31,210.28,$3.42,61.49
2022-12-31,264.96,$2.77,95.65
2022-09-30,277.47,$2.08,133.4
2022-06-30,195.24,$1.43,136.53
2022-03-31,201.78,$1.17,172.46
2021-12-31,182.94,$1.02,179.35
2021-09-30,149.97,$1.15,130.41
2021-06-30,183.63,$1.28,143.46
2021-03-31,162.16,$0.62,261.55
2020-12-31,175.47,$0.90,194.97
2020-09-30,82.59,$1.28,64.52
2020-06-30,47.57,$1.23,38.67
2020-03-31,32.29,$1.69,19.11
2019-12-31,26.13,$1.21,21.6
2019-09-30,22.23,$0.34,65.38
2019-06-30,18.23,$0.08,227.88
2019-03-31,9.23,$-0.04,0.0
2018-12-31,4.73,$-0.12,0.0
2018-09-30,4.85,$-0.16,0.0
2018-06-30,6.73,$-0.21,0.0
2018-03-31,4.57,$-0.31,0.0
2017-12-31,2.41,$-0.55,0.0
2017-09-30,1.52,$-0.73,0.0
2017-06-30,0.87,$-1.05,0.0
2017-03-31,1.37,$-1.27,0.0
2016-12-31,1.01,$-1.38,0.0
2016-09-30,1.18,$-1.52,0.0
2016-06-30,1.99,$-1.11,0.0
2016-03-31,2.33,$-0.76,0.0
2015-12-31,3.51,$-0.49,0.0
2015-09-30,3.7,$-0.13,0.0
2015-06-30,7.61,$-0.12,0.0
2015-03-31,13.19,$-0.18,0.0
2014-12-31,14.29,$-0.19,0.0
2014-09-30,14.99,$-0.27,0.0
2014-06-30,8.55,$-0.44,0.0
2014-03-31,7.36,$-0.52,0.0
2013-12-31,6.34,$-0.62,0.0
2013-09-30,8.12,$-0.74,0.0
2013-06-30,7.73,$-0.81,0.0
2013-03-31,6.2,$-0.95,0.0
2012-12-31,3.65,$-6.67,0.0
