Vertex Pharmaceuticals Quarterly Net Income (Millions of US $),Vertex Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,"$-3,594"
2024-03-31,"$1,100"
2023-12-31,$969
2023-09-30,"$1,035"
2023-06-30,$916
2023-03-31,$700
2022-12-31,$819
2022-09-30,$931
2022-06-30,$811
2022-03-31,$762
2021-12-31,$770
2021-09-30,$852
2021-06-30,$67
2021-03-31,$653
2020-12-31,$604
2020-09-30,$667
2020-06-30,$837
2020-03-31,$603
2019-12-31,$583
2019-09-30,$58
2019-06-30,$267
2019-03-31,$269
2018-12-31,"$1,551"
2018-09-30,$129
2018-06-30,$207
2018-03-31,$210
2017-12-31,$101
2017-09-30,$-103
2017-06-30,$18
2017-03-31,$248
2016-12-31,$33
2016-09-30,$-39
2016-06-30,$-65
2016-03-31,$-42
2015-12-31,$-74
2015-09-30,$-95
2015-06-30,$-189
2015-03-31,$-199
2014-12-31,$-177
2014-09-30,$-170
2014-06-30,$-159
2014-03-31,$-232
2013-12-31,$44
2013-09-30,$-124
2013-06-30,$-57
2013-03-31,$-308
2012-12-31,$-75
2012-09-30,$-58
2012-06-30,$-65
2012-03-31,$91
2011-12-31,$159
2011-09-30,$221
2011-06-30,$-174
2011-03-31,$-176
2010-12-31,$-180
2010-09-30,$-209
2010-06-30,$-200
2010-03-31,$-165
2009-12-31,$-159
2009-09-30,$-150
2009-06-30,$-171
2009-03-31,$-163
