Healthpeak Properties Quarterly Net Income (Millions of US $),Healthpeak Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$146
2024-03-31,$6
2023-12-31,$71
2023-09-30,$64
2023-06-30,$52
2023-03-31,$118
2022-12-31,$7
2022-09-30,$353
2022-06-30,$68
2022-03-31,$70
2021-12-31,$28
2021-09-30,$54
2021-06-30,$276
2021-03-31,$143
2020-12-31,$146
2020-09-30,$-64
2020-06-30,$51
2020-03-31,$277
2019-12-31,$43
2019-09-30,$-46
2019-06-30,$-14
2019-03-31,$61
2018-12-31,$829
2018-09-30,$99
2018-06-30,$89
2018-03-31,$40
2017-12-31,$-59
2017-09-30,$-8
2017-06-30,$19
2017-03-31,$460
2016-12-31,$58
2016-09-30,$151
2016-06-30,$301
2016-03-31,$116
2015-12-31,$-599
2015-09-30,$115
2015-06-30,$165
2015-03-31,$-241
2014-12-31,$196
2014-09-30,$247
2014-06-30,$218
2014-03-31,$258
2013-12-31,$293
2013-09-30,$233
2013-06-30,$213
2013-03-31,$230
2012-12-31,$240
2012-09-30,$196
2012-06-30,$201
2012-03-31,$175
2011-12-31,$62
2011-09-30,$166
2011-06-30,$223
2011-03-31,$64
2010-12-31,$136
2010-09-30,$17
2010-06-30,$79
2010-03-31,$75
2009-12-31,$26
2009-09-30,$-52
2009-06-30,$92
2009-03-31,$43
