Abbott Laboratories Quarterly Net Income (Millions of US $),Abbott Laboratories Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,302"
2024-03-31,"$1,225"
2023-12-31,"$1,594"
2023-09-30,"$1,436"
2023-06-30,"$1,375"
2023-03-31,"$1,318"
2022-12-31,"$1,033"
2022-09-30,"$1,435"
2022-06-30,"$2,018"
2022-03-31,"$2,447"
2021-12-31,"$1,989"
2021-09-30,"$2,100"
2021-06-30,"$1,189"
2021-03-31,"$1,793"
2020-12-31,"$2,162"
2020-09-30,"$1,232"
2020-06-30,$537
2020-03-31,$564
2019-12-31,"$1,049"
2019-09-30,$960
2019-06-30,"$1,006"
2019-03-31,$672
2018-12-31,$654
2018-09-30,$563
2018-06-30,$733
2018-03-31,$418
2017-12-31,$-828
2017-09-30,$603
2017-06-30,$283
2017-03-31,$419
2016-12-31,$798
2016-09-30,$-329
2016-06-30,$615
2016-03-31,$316
2015-12-31,$767
2015-09-30,$580
2015-06-30,$784
2015-03-31,"$2,292"
2014-12-31,$905
2014-09-30,$538
2014-06-30,$466
2014-03-31,$375
2013-12-31,$590
2013-09-30,$966
2013-06-30,$476
2013-03-31,$544
2012-12-31,"$1,053"
2012-09-30,"$1,943"
2012-06-30,"$1,725"
2012-03-31,"$1,242"
2011-12-31,"$1,619"
2011-09-30,$303
2011-06-30,"$1,943"
2011-03-31,$864
2010-12-31,"$1,441"
2010-09-30,$891
2010-06-30,"$1,292"
2010-03-31,"$1,003"
2009-12-31,"$1,539"
2009-09-30,"$1,480"
2009-06-30,"$1,288"
2009-03-31,"$1,439"
