Align Technology Quarterly Net Income (Millions of US $),Align Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$97
2024-03-31,$105
2023-12-31,$124
2023-09-30,$121
2023-06-30,$112
2023-03-31,$88
2022-12-31,$42
2022-09-30,$73
2022-06-30,$113
2022-03-31,$134
2021-12-31,$191
2021-09-30,$181
2021-06-30,$200
2021-03-31,$200
2020-12-31,$159
2020-09-30,$139
2020-06-30,$-41
2020-03-31,"$1,518"
2019-12-31,$121
2019-09-30,$103
2019-06-30,$147
2019-03-31,$72
2018-12-31,$97
2018-09-30,$101
2018-06-30,$106
2018-03-31,$96
2017-12-31,$10
2017-09-30,$83
2017-06-30,$69
2017-03-31,$69
2016-12-31,$48
2016-09-30,$51
2016-06-30,$50
2016-03-31,$41
2015-12-31,$49
2015-09-30,$28
2015-06-30,$31
2015-03-31,$36
2014-12-31,$40
2014-09-30,$38
2014-06-30,$36
2014-03-31,$32
2013-12-31,$42
2013-09-30,$35
2013-06-30,$29
2013-03-31,$-42
2012-12-31,$10
2012-09-30,$-0
2012-06-30,$28
2012-03-31,$21
2011-12-31,$20
2011-09-30,$19
2011-06-30,$11
2011-03-31,$16
2010-12-31,$10
2010-09-30,$17
2010-06-30,$33
2010-03-31,$15
2009-12-31,$11
2009-09-30,$-50
2009-06-30,$5
2009-03-31,$3
